topology,seed,norm,lambda2,h_cog,h_cont,mean_v,std_v,frac_bin0,u_mean
BA m=7,256,uniform,4.915820667375157,-0.0,2.707901935538496,-2.317343209836645,0.21219402244183722,1.0,1.0
BA m=7,256,degree_linear,4.915820667375157,-0.0,2.847390821398333,-2.192949589027389,0.2590388056048859,1.0,0.9998817898023102
BA m=7,1337,uniform,4.908041822560222,-0.0,2.699952564636153,-2.343866642278025,0.20827816224865864,1.0,0.9999966624422895
BA m=7,1337,degree_linear,4.908041822560222,-0.0,2.597124400083482,-2.1614500817788462,0.26723668398922473,1.0,0.9998817657945901
BA m=7,99,uniform,5.002744169349753,-0.0,2.6359302364115362,-2.320679412658127,0.21394673204227407,1.0,1.0
BA m=7,99,degree_linear,5.002744169349753,-0.0,2.6202295482200797,-2.1575386661077736,0.2817027747202054,1.0,0.9999154800022048
BA m=7,314,uniform,4.8193342890895945,-0.0,2.676504785851496,-2.3504248292733947,0.20932385383704827,1.0,1.0
BA m=7,314,degree_linear,4.8193342890895945,-0.0,2.602659480369967,-2.1889213155125193,0.281251164473621,1.0,0.9998584648840554
BA m=8,42,uniform,5.863867825037325,-0.0,2.5371108508821516,-2.3428939160144617,0.2056119861375206,1.0,0.999999378055842
BA m=8,42,degree_linear,5.863867825037325,-0.0,2.4503092503452812,-2.2491880055240268,0.27109043459844967,1.0,0.9999653650414801
BA m=8,123,uniform,5.813541627833227,-0.0,2.6467781686878413,-2.3686761434621273,0.1988138431625663,1.0,1.0
BA m=8,123,degree_linear,5.813541627833227,-0.0,2.3411456647064535,-2.2235994778336843,0.25509842019666923,1.0,0.9999669115356413
BA m=8,777,uniform,5.811457018031075,-0.0,2.6033429741325,-2.384959181573047,0.1987500586939838,1.0,1.0
BA m=8,777,degree_linear,5.811457018031075,-0.0,2.359866196653146,-2.2096290045751257,0.26584608771618556,1.0,0.9999328478519992
BA m=8,17,uniform,5.889383261626577,-0.0,2.5699498591270804,-2.3590477347561243,0.2039975808006841,1.0,1.0
BA m=8,17,degree_linear,5.889383261626577,-0.0,2.6823286396458683,-2.235973147082568,0.26646699571179083,1.0,0.9999477657701007
BA m=8,256,uniform,5.978792288248004,-0.0,2.5322636558956897,-2.350876733762907,0.20188759140119797,1.0,1.0
BA m=8,256,degree_linear,5.978792288248004,-0.0,2.4202982977967977,-2.2218895349625574,0.27375343285373815,1.0,0.999976570612587
BA m=8,1337,uniform,5.863021283613117,-0.0,2.4182359028548457,-2.3986461419512572,0.1953797305240225,1.0,1.0
BA m=8,1337,degree_linear,5.863021283613117,-0.0,2.444808606858369,-2.2233929067176343,0.2540772435817929,1.0,0.9999840064168833
