t,v_diff,uc_diff
682,-0.226058,0.107643
683,-0.224011,0.107021
684,-0.221436,0.106403
685,-0.218929,0.105792
686,-0.215862,0.105189
687,-0.213271,0.104596
688,-0.211737,0.104010
689,-0.209692,0.103428
690,-0.207543,0.102854
691,-0.205939,0.102283
692,-0.204486,0.101716
693,-0.202184,0.101153
694,-0.200611,0.100596
695,-0.197671,0.100045
696,-0.196733,0.099502
697,-0.195526,0.098963
698,-0.193650,0.098427
699,-0.192017,0.097893
700,-0.191293,0.097361
701,-0.189223,0.096831
702,-0.186066,0.096309
703,-0.184388,0.095796
704,-0.182516,0.095287
705,-0.180883,0.094783
706,-0.179340,0.094281
707,-0.176833,0.093783
708,-0.175480,0.093292
709,-0.174583,0.092805
710,-0.172272,0.092319
711,-0.168983,0.091840
712,-0.167326,0.091368
713,-0.165727,0.090898
714,-0.164486,0.090432
715,-0.162544,0.089969
716,-0.161079,0.089510
717,-0.159068,0.089056
718,-0.156961,0.088607
719,-0.155704,0.088167
720,-0.154940,0.087732
721,-0.153848,0.087300
722,-0.151892,0.086871
723,-0.151050,0.086446
724,-0.149931,0.086025
725,-0.149172,0.085607
726,-0.146438,0.085192
727,-0.143671,0.084790
728,-0.142343,0.084396
729,-0.141786,0.084003
730,-0.139824,0.083610
731,-0.139786,0.083222
732,-0.137182,0.082835
733,-0.135890,0.082453
734,-0.134625,0.082075
735,-0.133653,0.081699
736,-0.132615,0.081327
737,-0.131076,0.080957
738,-0.129263,0.080591
739,-0.127531,0.080229
740,-0.127312,0.079870
741,-0.125418,0.079515
742,-0.123380,0.079165
743,-0.121345,0.078821
744,-0.119571,0.078481
745,-0.117360,0.078146
746,-0.115948,0.077817
747,-0.114450,0.077491
748,-0.112439,0.077169
749,-0.111559,0.076851
750,-0.110679,0.076534
751,-0.109485,0.076222
752,-0.108635,0.075911
753,-0.107581,0.075605
754,-0.105088,0.075303
755,-0.102923,0.075007
756,-0.100659,0.074718
757,-0.098749,0.074434
758,-0.096182,0.074155
759,-0.095087,0.073882
760,-0.093353,0.073613
761,-0.091395,0.073347
762,-0.088461,0.073086
763,-0.086970,0.072832
764,-0.085051,0.072584
765,-0.082350,0.072341
766,-0.080008,0.072105
767,-0.078364,0.071871
768,-0.076872,0.071642
769,-0.075808,0.071417
770,-0.073892,0.071195
771,-0.071832,0.070976
772,-0.070700,0.070762
773,-0.068585,0.070551
774,-0.066407,0.070348
775,-0.064168,0.070149
776,-0.064399,0.069952
777,-0.063138,0.069756
778,-0.061369,0.069563
779,-0.060817,0.069374
780,-0.060248,0.069187
781,-0.058185,0.069002
782,-0.057290,0.068820
783,-0.056198,0.068640
784,-0.056226,0.068462
785,-0.055488,0.068286
786,-0.054450,0.068111
787,-0.053717,0.067938
788,-0.050935,0.067764
789,-0.049651,0.067596
790,-0.049087,0.067430
791,-0.048001,0.067268
792,-0.046418,0.067109
793,-0.044348,0.066953
794,-0.042782,0.066801
795,-0.042657,0.066652
796,-0.041487,0.066504
797,-0.041535,0.066357
798,-0.041557,0.066212
799,-0.040345,0.066067
800,-0.039334,0.065918
801,-0.037151,0.065771
802,-0.035611,0.065626
803,-0.034306,0.065484
804,-0.033281,0.065343
805,-0.032340,0.065205
806,-0.029425,0.065069
807,-0.028685,0.064939
808,-0.027452,0.064808
809,-0.026083,0.064682
810,-0.024769,0.064558
811,-0.023989,0.064436
812,-0.023223,0.064314
813,-0.021760,0.064194
814,-0.021025,0.064074
815,-0.020593,0.063957
816,-0.020331,0.063839
817,-0.019742,0.063722
818,-0.017702,0.063608
819,-0.016385,0.063496
820,-0.015168,0.063386
821,-0.013713,0.063276
822,-0.011907,0.063169
823,-0.009407,0.063065
824,-0.008909,0.062968
825,-0.007659,0.062873
826,-0.007183,0.062779
827,-0.005500,0.062688
828,-0.004661,0.062596
829,-0.002765,0.062505
830,-0.001591,0.062418
831,0.000422,0.062332
832,0.002900,0.062249
833,0.003325,0.062170
834,0.004475,0.062093
835,0.005658,0.062018
836,0.006133,0.061946
837,0.006827,0.061876
838,0.008632,0.061808
839,0.009249,0.061742
840,0.011008,0.061676
841,0.012414,0.061614
842,0.013421,0.061552
843,0.015129,0.061492
844,0.016005,0.061433
845,0.018676,0.061376
846,0.020993,0.061323
847,0.020661,0.061275
848,0.021167,0.061227
849,0.022327,0.061179
850,0.023559,0.061129
851,0.025215,0.061082
852,0.027018,0.061038
853,0.028284,0.060998
854,0.029890,0.060960
855,0.032148,0.060926
856,0.032366,0.060895
857,0.034910,0.060863
858,0.036007,0.060835
859,0.039225,0.060809
860,0.038841,0.060784
861,0.039833,0.060758
862,0.040446,0.060733
863,0.042041,0.060710
864,0.042860,0.060687
865,0.044405,0.060667
866,0.045519,0.060649
867,0.046569,0.060635
868,0.047662,0.060623
869,0.047942,0.060613
870,0.049714,0.060604
871,0.052090,0.060597
872,0.053877,0.060596
873,0.055043,0.060595
874,0.055585,0.060595
875,0.057271,0.060598
876,0.057583,0.060604
877,0.058747,0.060610
878,0.059260,0.060616
879,0.059871,0.060625
880,0.059817,0.060633
881,0.061327,0.060642
882,0.062216,0.060653
883,0.062903,0.060667
884,0.063772,0.060677
885,0.065000,0.060691
886,0.066391,0.060707
887,0.067469,0.060725
888,0.069208,0.060746
889,0.070590,0.060768
890,0.070687,0.060792
891,0.071761,0.060814
892,0.073169,0.060837
893,0.073618,0.060861
894,0.076533,0.060887
895,0.077793,0.060917
896,0.076873,0.060948
897,0.077382,0.060978
898,0.077303,0.061008
899,0.077998,0.061038
900,0.078719,0.061070
901,0.080648,0.061105
902,0.080809,0.061142
903,0.081866,0.061181
904,0.082757,0.061222
905,0.083088,0.061265
906,0.082214,0.061309
907,0.083308,0.061352
908,0.084394,0.061395
909,0.084723,0.061438
910,0.085734,0.061481
911,0.085784,0.061526
912,0.085384,0.061570
913,0.084588,0.061613
914,0.084428,0.061657
915,0.084728,0.061701
916,0.084746,0.061744
917,0.085996,0.061787
918,0.087723,0.061832
919,0.088958,0.061878
920,0.088837,0.061926
921,0.090344,0.061973
922,0.090261,0.062020
923,0.090252,0.062066
924,0.091598,0.062112
925,0.091831,0.062163
926,0.092389,0.062212
927,0.092698,0.062262
928,0.093335,0.062314
929,0.094134,0.062365
930,0.093767,0.062417
931,0.094951,0.062467
932,0.094326,0.062519
933,0.094657,0.062569
934,0.094146,0.062619
935,0.094161,0.062664
936,0.094317,0.062709
937,0.094380,0.062752
938,0.094364,0.062798
939,0.094647,0.062843
940,0.095903,0.062889
941,0.096018,0.062937
942,0.098429,0.062984
943,0.100018,0.063035
944,0.101403,0.063088
945,0.102108,0.063142
946,0.104064,0.063198
947,0.103142,0.063257
948,0.103047,0.063315
949,0.102866,0.063374
950,0.104571,0.063431
951,0.104905,0.063491
952,0.105119,0.063551
953,0.105538,0.063612
954,0.105405,0.063674
955,0.106507,0.063734
956,0.108612,0.063797
957,0.109363,0.063863
958,0.110838,0.063931
959,0.110556,0.064002
960,0.110582,0.064073
961,0.110492,0.064142
962,0.112982,0.064212
963,0.113961,0.064284
964,0.115001,0.064356
965,0.115073,0.064431
966,0.114530,0.064506
967,0.114345,0.064581
968,0.115144,0.064656
969,0.115026,0.064733
970,0.116097,0.064809
971,0.115638,0.064889
972,0.116891,0.064966
973,0.117027,0.065045
974,0.115936,0.065122
975,0.115613,0.065200
976,0.116070,0.065279
977,0.115493,0.065359
978,0.114184,0.065436
979,0.112170,0.065512
980,0.112482,0.065586
981,0.113551,0.065661
982,0.114780,0.065738
983,0.114489,0.065815
984,0.115711,0.065892
985,0.115844,0.065970
986,0.117403,0.066049
987,0.117577,0.066131
988,0.118600,0.066213
989,0.117594,0.066296
990,0.118621,0.066376
991,0.117660,0.066459
992,0.118386,0.066541
993,0.118094,0.066625
994,0.117058,0.066710
995,0.117197,0.066794
996,0.116687,0.066879
997,0.117431,0.066963
998,0.117742,0.067049
999,0.118103,0.067135
