window_center,source,target,te_bits
250,Q4,Q3,0.000566
300,Q4,Q3,0.000000
350,Q4,Q3,0.000000
400,Q4,Q3,0.016918
450,Q4,Q3,0.014567
500,Q4,Q3,0.011064
550,Q4,Q3,0.004028
600,Q4,Q3,0.000000
650,Q4,Q3,0.000000
700,Q4,Q3,0.000000
750,Q4,Q3,0.000000
800,Q4,Q3,0.000000
850,Q4,Q3,0.000000
900,Q4,Q3,0.000000
950,Q4,Q3,0.014548
1000,Q4,Q3,0.010789
1050,Q4,Q3,0.036676
1100,Q4,Q3,0.026728
1150,Q4,Q3,0.037758
1200,Q4,Q3,0.042982
1250,Q4,Q3,0.024855
1300,Q4,Q3,0.056030
1350,Q4,Q3,0.074989
1400,Q4,Q3,0.039969
1450,Q4,Q3,0.004119
1500,Q4,Q3,0.029718
1550,Q4,Q3,0.041750
1600,Q4,Q3,0.027881
1650,Q4,Q3,0.025430
1700,Q4,Q3,0.004879
1750,Q4,Q3,0.014760
1800,Q4,Q3,0.005464
1850,Q4,Q3,0.009788
1900,Q4,Q3,0.009195
1950,Q4,Q3,0.008512
