alpha,v_star,w_star,re_lambda_max,im_lambda,is_spiral
0.271356783919598,-1.2026551261288745,-0.6283189076610931,-0.007115538519728785,0.2770634549017599,True
0.2743718592964824,-1.2005581022650038,-0.6256976278312548,-0.0062074554774044916,0.27687546261379653,True
0.27738693467336684,-1.1984595167505379,-0.6230743959381724,-0.005304610735926335,0.2766854735600315,True
0.2804020100502512,-1.1963593901668863,-0.6204492377086079,-0.004407041388326448,0.27649354293347866,True
0.2834170854271357,-1.194257743371902,-0.6178221792148775,-0.00351478456905667,0.2762997262290941,True
0.28643216080402006,-1.1921545975006245,-0.6151932468757806,-0.002627877449809038,0.2761040792412969,True
0.2894472361809045,-1.190049973966114,-0.6125624674576424,-0.0017463572353547882,0.27590665806125797,True
0.29246231155778896,-1.1879438944593284,-0.6099298680741605,-0.0008702611587320455,0.27570751907380636,True
0.29547738693467335,-1.1858363809495531,-0.6072954761869415,3.735232434812219e-07,0.2755067189541579,True
0.2984924623115578,-1.1837274556885573,-0.6046593196106966,0.0008655095321465633,0.2753043146649449,True
0.3015075376884422,-1.1816171412050314,-0.6020214265062892,0.0017251095763217844,0.27510036345156014,True
0.30452261306532663,-1.1795054603089683,-0.5993818253862104,0.002579136352972154,0.27489492283869554,True
0.307537688442211,-1.1773924360909818,-0.5967405451137272,0.0034275525535047077,0.274688050625877,True
0.31055276381909547,-1.175278091922563,-0.5940976149032037,0.004270320868310015,0.2744798048828693,True
0.31356783919597986,-1.173162451456273,-0.5914530643203414,0.00510740399161435,0.2742702439447995,True
0.3165829145728643,-1.1710455386258711,-0.588806923282339,0.005938764626403074,0.2740594264069977,True
0.31959798994974875,-1.1689273776463749,-0.5861592220579687,0.006764365489414975,0.2738474111195512,True
0.32261306532663314,-1.1668079930140574,-0.5835099912675717,0.0075841693162043075,0.2736342571815689,True
0.3256281407035176,-1.1646874095063708,-0.5808592618829636,0.008398138866275981,0.2734200239351526,True
0.328643216080402,-1.162565652181804,-0.578207065227255,0.009206236928286288,0.27320477095907314,True
0.3316582914572864,-1.1604427463796676,-0.5755534329745845,0.010008426325313062,0.27298855806214795,True
0.3346733668341708,-1.1583187177198073,-0.5728983971497592,0.010804669920192876,0.27277144527631736,True
0.33768844221105526,-1.1561935921022437,-0.5702419901278046,0.011594930620923954,0.2725534928494179,True
0.3407035175879397,-1.1540673957067382,-0.5675842446334228,0.012379171386134535,0.2723347612376494,True
0.3437185929648241,-1.1519401549922836,-0.5649251937403545,0.013157355230616237,0.2721153110977339,True
0.34673366834170855,-1.1498118966965163,-0.5622648708706454,0.013929445230920434,0.27189520327876504,True
0.34974874371859294,-1.147682647835053,-0.5596033097938163,0.014695404531016483,0.2716744988137452,True
0.3527638190954774,-1.145552435700747,-0.5569405446259337,0.015455196348011603,0.2714532589108094,True
0.3557788944723618,-1.1434212878628651,-0.5542766098285814,0.0162087839779307,0.2712315449441337,True
0.3587939698492462,-1.1412892321661838,-0.5516115402077298,0.016956130801554697,0.2710094184445285,True
0.36180904522613067,-1.139156296730003,-0.5489453709125038,0.017697200290316406,0.27078694108971346,True
0.36482412060301506,-1.137022509947077,-0.5462781374338462,0.018431956012252372,0.27056417469427485,True
0.3678391959798995,-1.134887900482461,-0.5436098756030763,0.019160361638009715,0.270341181199305,True
0.3708542713567839,-1.1327524972722745,-0.5409406215903431,0.019882380946905302,0.27011802266172147,True
0.37386934673366834,-1.1306163295223768,-0.538270411902971,0.020597977833037025,0.2698947612432686,True
0.37688442211055273,-1.128479426706957,-0.5355992833836961,0.021307116311446057,0.2696714591991993,True
0.3798994974874372,-1.1263418185670369,-0.5329272732087961,0.022009760524324663,0.2694481788666391,True
0.38291457286432157,-1.1242035351088844,-0.5302544188861055,0.022705874747274618,0.2692249826526319,True
0.385929648241206,-1.1220646066023394,-0.5275807582529243,0.023395423395606588,0.26900193302187003,True
0.38894472361809046,-1.119925063579049,-0.5249063294738112,0.024078371030685185,0.26877909248410853,True
0.39195979899497485,-1.1177849368306119,-0.5222311710382649,0.024754682366314333,0.2685565235812652,True
0.3949748743718593,-1.115644257406633,-0.5195553217582912,0.02542432227516138,0.2683342888742102,True
