N,m,c,seed,lambda2,H_stable
200,1,3.428571428571429,4,0.6095925916288758,4.520972364822069
200,1,5.285714285714286,0,1.4999438916802599,4.2139909551731005
200,1,4.357142857142858,1,0.8474115199108696,4.137636962226199
200,1,3.428571428571429,1,0.5917989708413676,4.5775539565990035
200,1,4.357142857142858,4,0.7807597433806707,4.131569650670784
200,1,4.357142857142858,0,1.3678529412614298,4.287302514871377
200,1,4.357142857142858,5,0.7616513674017341,4.450017905745482
200,1,5.285714285714286,1,0.8845447440022723,3.5835103757422604
200,1,4.357142857142858,2,0.6425486184954056,4.349049585609072
200,1,5.285714285714286,2,0.6668753922134739,3.9238041069892233
200,1,4.357142857142858,3,1.046460412941686,4.226752172704134
200,1,5.285714285714286,3,1.270083351096253,3.7884554408635776
200,1,5.285714285714286,5,0.8640572987937444,3.953048525631432
200,1,6.214285714285714,0,1.5616989394703653,3.7058543297793602
200,1,5.285714285714286,4,0.8767128219114912,3.752204886130854
200,1,6.214285714285714,3,1.719743932657098,3.536069286647427
200,1,6.214285714285714,1,0.8886690019157498,3.6795833438134906
200,1,6.214285714285714,4,1.581403569093897,3.3906001744217584
200,1,6.214285714285714,2,1.3911437266729365,3.638843239246617
200,1,7.142857142857143,1,1.430290094219147,3.1901485714876654
200,1,7.142857142857143,0,1.6772766211245203,3.424785574998034
200,1,6.214285714285714,5,0.8860980849899072,3.6549720942049713
200,1,7.142857142857143,2,1.6265615862738254,3.3395578272748216
200,1,7.142857142857143,5,0.8890148108231088,3.3692954427301824
200,1,8.071428571428571,0,2.7011296144189116,3.364646435650789
200,1,7.142857142857143,4,1.6276550010651445,3.303121257134353
200,1,7.142857142857143,3,1.7833948641854085,3.173987863768543
200,1,8.071428571428571,1,1.7539284979602192,3.1227150510122796
200,1,8.071428571428571,3,2.551550478352232,3.0592861706892713
200,1,8.071428571428571,5,0.891954849616887,3.1666684773347464
200,1,9.0,0,2.9658873190633592,3.1406636806874006
200,1,8.071428571428571,4,2.380983824068369,3.136714844806245
200,1,8.071428571428571,2,1.7241965988682335,3.2193754594514448
200,1,9.0,4,3.3238002220790266,2.987137289452089
200,2,0.0,0,0.5819746903575175,5.131360802459872
200,2,0.0,1,0.5494583745259349,5.2029897784775425
200,2,0.0,3,0.6354934080023358,4.971903225594182
200,1,9.0,3,2.6122504925992622,2.9819227345113415
200,1,9.0,5,0.9033912298322573,3.059617770033323
200,2,0.0,4,0.5980075408707096,5.031860867635013
200,2,0.0,2,0.5836168980570806,5.185997944831358
200,2,0.0,5,0.5716005598685179,5.222310844628402
200,1,9.0,2,1.7724789250735782,3.043627770040917
200,2,0.25,2,0.6629899840567309,5.082038334171451
200,1,9.0,1,2.5770044420756735,3.0140665431753586
200,2,0.25,1,0.618054163030421,4.994740303920621
200,2,0.25,0,0.6329780300467394,5.001363558247597
200,2,0.25,3,0.7078292100944951,4.935079535059014
200,2,0.25,5,0.5890643938598026,5.140048577304656
200,2,0.25,4,0.63682029108745,5.035014770704265
200,2,0.5,2,0.7801998897916999,4.868183744575602
200,2,0.5,3,0.7992084406745077,4.754631425466937
200,2,0.5,4,0.69415495265036,5.050509259756335
200,2,0.5,1,0.7668869849920105,4.952072348931902
200,2,0.75,0,0.7463692015130252,4.7022100090425765
200,2,0.75,1,0.8413545505490153,4.831971954209693
200,2,0.5,0,0.7056165586919757,4.929072440393296
200,2,0.5,5,0.6399945016986505,5.0950134919801
200,2,0.75,4,0.7661485917996934,4.855199538896288
200,2,0.75,5,0.8173194145385161,4.991819998247876
200,2,0.75,3,0.8854570520950719,4.605621073379421
200,2,0.75,2,0.7965730470629189,4.831342065064446
200,2,1.0,0,0.8373615799467115,4.836601516771583
200,2,1.0,1,0.9212601602199008,4.799118083454697
200,2,1.0,2,0.8413437828350773,4.649812584009555
200,2,1.0,4,0.8175421785811406,4.82229550101083
200,2,1.25,2,0.9044349523238898,4.594271230949808
200,2,1.0,5,0.900829787407945,4.912590797561028
200,2,1.0,3,0.9195825503866382,4.575577197138301
200,2,1.25,0,1.0055339793087432,4.737618180568854
200,2,1.25,3,0.9534181383125079,4.575431925673546
200,2,1.25,1,0.9940478572637079,4.702494615785676
200,2,1.5,0,1.0607275541137993,4.625952442597773
200,2,1.5,2,0.9297605875799932,4.443345749488453
200,2,1.25,4,0.8775768815744637,4.73642008314483
200,2,1.5,1,1.074735340178854,4.551540466416453
200,2,1.25,5,1.0076559660695343,4.792405624165373
200,2,1.5,3,0.9770629808222199,4.410464989022542
200,2,1.5,4,0.9479642495132098,4.549295189122355
200,2,1.75,0,1.1028733318542758,4.594942396447469
200,2,1.75,1,1.124816311532296,4.422629386350939
200,2,1.5,5,1.1010220249669938,4.758197299962224
200,2,1.75,5,1.1347175899787776,4.6642939966394925
200,2,1.75,4,1.0489674549002455,4.303408453495324
200,2,1.75,3,0.9873250567290358,4.449745169040917
200,2,1.75,2,1.0500966625568935,4.320916594751931
200,2,2.0,0,1.124255542936354,4.492603291727375
200,2,2.0,3,1.119675973718816,4.4659591752912124
200,2,2.0,1,1.1637394280378137,4.348225927014234
200,2,2.0,5,1.187271310711344,4.466578734378877
200,2,2.0,2,1.1348947345781744,4.349252826761142
200,2,2.0,4,1.0904553224759272,4.457217877815688
200,2,2.5,0,1.2929899689227373,4.44641563183481
200,2,2.5,1,1.3445044572465705,4.2072020320826855
200,2,2.5,3,1.3088024823836908,4.329730901211102
200,2,2.5,4,1.2320687751846784,4.161591086489852
200,2,2.5,2,1.229739190404936,4.357246641018261
200,2,2.5,5,1.2203139710386153,4.35624946735938
200,2,3.428571428571429,2,1.5350867981304122,4.023640631399979
200,2,3.428571428571429,4,1.5170282244062636,3.791738895990582
200,2,3.428571428571429,5,1.4471391095599693,3.9858100603698676
200,2,3.428571428571429,3,1.6120368850145488,3.9926269630676408
200,2,3.428571428571429,0,1.6204980722572921,4.09410364448981
200,2,3.428571428571429,1,1.4671920056100332,3.792380674106712
200,2,4.357142857142858,1,1.6956771550482597,3.410313847711424
200,2,4.357142857142858,2,1.8590277851166803,3.8217646550378896
200,2,4.357142857142858,0,2.226429223379436,3.831242735865911
200,2,4.357142857142858,5,1.5944770204020753,3.672184055820177
200,2,4.357142857142858,3,1.7828586647418248,3.474965149835173
200,2,5.285714285714286,2,2.2448949426266664,3.4128077915950104
200,2,5.285714285714286,3,1.7998600476421984,3.4604223674707404
200,2,4.357142857142858,4,1.9766485979136457,3.4700746597287693
200,2,5.285714285714286,1,2.3459535317838878,3.273584930881101
200,2,5.285714285714286,4,2.091505541312202,3.3607664522339484
200,2,5.285714285714286,5,1.7789738755372528,3.3614420944800147
200,2,6.214285714285714,0,2.619379831728748,3.1407299414744316
200,2,6.214285714285714,1,2.5364801927971623,3.0898488955666648
200,2,6.214285714285714,2,2.4384889749461904,3.3081109227255863
200,2,5.285714285714286,0,2.4202526092840473,3.4369504715442205
200,2,6.214285714285714,4,2.3088777339607316,3.1417976206406175
200,2,6.214285714285714,3,2.5209307996996015,3.1799575662949686
200,2,6.214285714285714,5,1.9919673045746589,3.236040145148284
200,2,7.142857142857143,0,2.705758827601152,3.1727490800394755
200,2,7.142857142857143,1,3.1390056322812825,3.032485883154566
200,2,7.142857142857143,2,3.3938057170422633,3.0632748649306145
200,2,7.142857142857143,3,2.5897198777637067,3.074952945458821
