N,m,c,seed,lambda2,H_stable
100,5,1.5,0,3.8145773757562087,3.000810532005598
100,5,1.5,5,3.688539579631017,3.1779440329705504
100,5,1.5,4,3.5076871309334967,2.9253807140107324
100,5,1.75,0,3.9090691942337683,2.917339137964721
100,5,1.75,1,3.8302600549666646,2.870430856381484
100,5,1.5,3,3.471654681176818,3.340819900576439
100,5,1.75,3,3.554951535834318,3.1730556940982564
100,5,1.75,2,3.964991814942819,3.091459920480013
100,5,1.75,5,3.750461239993953,3.1190474441277867
100,5,1.75,4,3.6172656855612155,2.86032184829091
100,5,2.0,0,3.9445388989915253,2.9139277293161503
100,5,2.0,2,4.022629616356101,2.9755370446489207
100,5,2.0,3,3.6067537828120058,3.295790915237062
100,5,2.0,1,3.8861383452115206,2.9191390844479472
100,5,2.0,4,3.6866514149599574,2.8824572537186364
100,5,2.5,0,4.015794535836049,2.9846717306716557
100,5,2.5,1,4.0392326963314416,2.906053299231124
100,5,2.0,5,3.842738632539989,3.010049469367344
100,5,2.5,2,4.140157272778534,2.989229285170892
100,5,2.5,3,3.740386730004648,3.2228850658375436
100,5,2.5,5,3.9918184956633755,2.8744525302083166
100,5,2.5,4,4.077647666231866,3.06418512334816
100,5,3.428571428571429,1,4.197251160396678,2.8299122150931133
100,5,3.428571428571429,4,4.522157907614698,2.7814298114919773
100,5,3.428571428571429,2,4.3184155643437245,2.9906942034523216
100,5,3.428571428571429,0,4.211696664268648,2.889829221360441
100,5,3.428571428571429,3,3.8618768151855414,3.099335290704657
100,5,4.357142857142858,1,4.545097424635362,2.703893581970103
100,5,3.428571428571429,5,4.537157650334613,2.979436585788541
100,5,4.357142857142858,0,4.330414083889419,2.7101400343131408
100,5,4.357142857142858,3,4.358266053379203,2.8130482402617067
100,5,4.357142857142858,2,4.764600910448172,3.0183860221027468
100,5,4.357142857142858,5,5.056390328645729,2.654937370260155
100,5,5.285714285714286,3,4.538048302116019,2.785626225333965
100,5,5.285714285714286,2,4.852354335931066,2.7786653160117414
100,5,5.285714285714286,1,5.321981703933267,2.78919323792484
100,5,4.357142857142858,4,4.941345762612562,2.842700634994748
100,5,5.285714285714286,0,5.050824138550827,2.718808418202096
100,5,6.214285714285714,1,5.478078939589679,2.6379877539434395
100,5,5.285714285714286,4,5.069225818385922,2.7704916380891635
100,5,6.214285714285714,2,5.462346544124015,2.8416798855495156
100,5,6.214285714285714,4,5.6682323183641845,2.767472039429631
100,5,6.214285714285714,3,4.548340336633513,2.790174611614863
100,5,5.285714285714286,5,5.5186769400056,2.623445379891261
100,5,6.214285714285714,0,5.0944037249628895,2.6554306673925474
100,5,6.214285714285714,5,6.28880044981407,2.5947068731525964
100,5,7.142857142857143,0,5.94522996199702,2.636189174989593
100,5,7.142857142857143,1,5.54723666780046,2.6533055411062256
100,5,7.142857142857143,3,6.1804372570919615,2.72604015978103
100,5,7.142857142857143,4,6.001485996686468,2.7684891157570415
100,5,7.142857142857143,5,6.761769055220947,2.5415485428254314
100,5,8.071428571428571,0,6.716643359577881,2.66157471387416
100,5,8.071428571428571,2,6.796320490482917,2.7228421368020252
100,5,8.071428571428571,3,7.120168368473035,2.676812092830464
100,5,8.071428571428571,1,6.426253695145708,2.751232557385289
100,5,8.071428571428571,4,6.792290606620185,2.5963854276446106
100,5,7.142857142857143,2,5.9496983036606235,2.7533499755363255
100,5,8.071428571428571,5,7.377015635083013,2.469644194430902
100,5,9.0,2,7.22813341285753,2.6490109325068367
100,5,9.0,0,7.419531034986107,2.639242952993254
100,5,9.0,1,7.273959245203139,2.6107211257589285
100,5,9.0,3,7.515780559630976,2.5977942174469058
100,5,9.0,5,7.933301160031723,2.5653767824630562
100,7,0.0,0,4.8108444225437195,2.908850484361325
100,5,9.0,4,7.674088020032868,2.6643170722907312
100,7,0.0,5,5.030106936541982,2.7699403401023193
100,7,0.0,2,4.855858833881438,2.7023673961042025
100,7,0.25,0,5.045690101687102,2.7729809911206478
100,7,0.0,1,4.913429025641349,2.817629743826185
100,7,0.25,2,4.986017324857234,2.8196959386705105
100,7,0.25,1,5.141510814672365,2.822331183867309
100,7,0.0,4,5.074239081205341,2.82981493477313
100,7,0.0,3,5.059870724493233,2.8863877734287806
100,7,0.25,3,5.274892777512814,2.9061567905694643
100,7,0.25,5,5.175408343279518,2.8158678339753695
100,7,0.25,4,5.1656714513862605,2.6745521037220827
100,7,0.5,2,5.156256976702258,2.7491056609870594
100,7,0.5,3,5.384207677415421,2.765325640295214
100,7,0.5,1,5.20127322697324,2.9144423846888645
100,7,0.5,4,5.247521740263436,2.6654672897369935
100,7,0.5,0,5.144828144461852,2.8958397486608645
100,7,0.75,1,5.31131342976388,2.808213234347969
100,7,0.5,5,5.233987032010588,2.8009463619468593
100,7,0.75,3,5.513555969019685,2.809369922196529
100,7,0.75,0,5.183810276302316,2.815352821650455
100,7,0.75,2,5.257724260975314,2.7279756944176676
100,7,0.75,4,5.396500586330522,2.73546907415685
100,7,0.75,5,5.263850929941461,2.6989335320775227
100,7,1.0,1,5.419801627084605,2.8221062239378853
100,7,1.0,3,5.583381995799349,2.7973832577642095
100,7,1.0,0,5.260076407671912,2.888315207063198
100,7,1.0,2,5.367086950243759,2.826755201499198
