m,direction,graph_seed,dyn_seed,k_harm_in,k_harm_out,n_deaf_in,h_cont,h_cog,sync
3,HUBS_LISTEN,4,17,2.2490769692856976,2.812499999999999,43,4.134848262353246,0.42481913279022904,0.041508524119939764
3,HUBS_LISTEN,4,256,2.2490769692856976,2.812499999999999,43,4.187618508700692,0.48655551895848725,0.03688872560058866
3,HUBS_BROADCAST,4,42,2.776998597475455,2.191369658991378,1,3.6775454418266076,0.17300966110744034,0.08506738556460694
3,HUBS_BROADCAST,4,123,2.776998597475455,2.191369658991378,1,3.7546424481105656,0.19786778950817485,0.03649240839556966
3,HUBS_BROADCAST,4,777,2.776998597475455,2.191369658991378,1,3.8094032719657265,0.2825702265705945,0.009866473634371683
3,HUBS_BROADCAST,4,17,2.776998597475455,2.191369658991378,1,3.7994612392402582,0.24208416556612164,0.02054442907273486
3,HUBS_BROADCAST,4,256,2.776998597475455,2.191369658991378,1,3.7415019920665817,0.2228880730251314,0.01358801546965221
3,UNDIRECTED,5,42,nan,nan,0,3.7772854921799706,0.22072365665595164,0.006281888829816617
3,UNDIRECTED,5,123,nan,nan,0,3.7460080954165424,0.2387433770280328,0.006930577571601751
3,UNDIRECTED,5,777,nan,nan,0,3.6281416295177826,0.16535516218956892,0.022179054601115605
3,UNDIRECTED,5,17,nan,nan,0,3.6802922864127368,0.16668098128897588,0.006924316940177701
3,UNDIRECTED,5,256,nan,nan,0,3.703886307809638,0.1983503316013163,0.00061358158103313
3,RANDOM,5,42,2.0113429674369345,1.995444677746539,4,3.853240047309396,0.3446848756178023,0.11690154661106868
3,RANDOM,5,123,2.0113429674369345,1.995444677746539,4,3.9443468290112254,0.2879255960063709,0.004097508231285613
3,RANDOM,5,777,2.0113429674369345,1.995444677746539,4,3.897463227428275,0.24802956803174392,0.01639854881447015
3,RANDOM,5,17,2.0113429674369345,1.995444677746539,4,3.935778194943164,0.24479315465259519,-0.005184888979326849
3,RANDOM,5,256,2.0113429674369345,1.995444677746539,4,3.9632785335768803,0.26677735038746503,0.06697006690572084
3,HUBS_LISTEN,5,42,2.0028509188260393,2.752548656163113,43,4.26180638278338,0.6034268147715423,0.03419962522639712
3,HUBS_LISTEN,5,123,2.0028509188260393,2.752548656163113,43,4.251846753133779,0.5049020869039691,0.04313644779884926
3,HUBS_LISTEN,5,777,2.0028509188260393,2.752548656163113,43,4.209880589290568,0.5128295925731468,0.09749900394922702
3,HUBS_LISTEN,5,17,2.0028509188260393,2.752548656163113,43,4.226503559763935,0.49415466571347416,0.05105439921521087
3,HUBS_LISTEN,5,256,2.0028509188260393,2.752548656163113,43,4.32768383534539,0.5522232657642069,0.06334807408795161
3,HUBS_BROADCAST,5,42,2.8837665522314855,2.107958538038696,2,3.743395751809678,0.2549921508816626,0.07611678500747925
3,HUBS_BROADCAST,5,123,2.8837665522314855,2.107958538038696,2,3.7807982359516665,0.25034549167803527,0.010145302566458526
3,HUBS_BROADCAST,5,777,2.8837665522314855,2.107958538038696,2,3.843502139294361,0.25436761911542455,0.03175009997407975
3,HUBS_BROADCAST,5,17,2.8837665522314855,2.107958538038696,2,3.8258287299285287,0.2648877768221304,0.008063511091091033
3,HUBS_BROADCAST,5,256,2.8837665522314855,2.107958538038696,2,3.9694697718084364,0.36204718505236516,0.002520208342989571
5,UNDIRECTED,1,42,nan,nan,0,3.191459433825445,0.0,-0.005805661245379782
5,UNDIRECTED,1,123,nan,nan,0,3.2602552550235937,0.0,-0.005505647507421904
