N,lambda2_bin,lambda2_mean,H_stable_mean,H_stable_std,U4_mean,U4_std,LZ_mean,LZ_std,sync_mean,sync_std,H_cont_mean,count
400,1.5,1.5618028729298208,3.591742491515025,0.032614108711263294,0.6663202458988987,0.0001427551057167626,0.8207834949448908,0.004328899324742317,-0.0004753519244989007,0.013959924550587815,3.6009334835420206,19
400,1.75,1.7050620135684147,3.55324751461938,0.053792942180204216,0.6663529515951596,9.798184550792307e-05,0.8195105895219252,0.00432807396887014,-0.0021637203493172622,0.016222138743704845,3.514110276588748,25
400,2.0,2.0001137501896187,3.441886528979186,0.07122797181722501,0.6663723653587257,0.00010737779049874075,0.8175389408653525,0.0067669806358349625,-0.004892270713309844,0.013360895561013983,3.4175761445003485,42
400,2.25,2.2789167114667164,3.2875792357788214,0.08941988833943353,0.6663516179551595,0.00010881381749830853,0.8129853081672648,0.0070214647975466995,-0.002600079924486627,0.015061625522595401,3.297365577432912,28
400,2.5,2.4911655755994246,3.2067265361869377,0.10553800403808669,0.66637121766808,9.00095328175761e-05,0.8050192251973612,0.009784775568423054,-0.0038945486897315543,0.01208346459122593,3.2131200511008036,44
400,2.75,2.7364583011033035,3.0111317297759292,0.1594962848360924,0.6663074255978201,9.054700361638617e-05,0.7970013025860662,0.014725016411679325,-0.001791807144024009,0.013452245947752428,3.0163015675903058,45
400,3.0,3.0067890401058777,2.969155782987926,0.12120585700536461,0.6663667469298913,4.6429492472303584e-05,0.7927000597862928,0.014678409874563508,0.008542604339442587,0.015311563368659912,2.960418521284271,3
400,3.25,3.246717592020421,3.0464813621458817,0.0661360095267988,0.6662947937180664,7.249619395199242e-05,0.7985362813367944,0.006228328296968961,-0.0018020404653185478,0.010332715948320885,3.059593331108335,14
400,3.5,3.506750754545544,2.902419420334231,0.07634109952479337,0.6662910317087828,0.00012264953238943496,0.7876149930312873,0.009110456236424667,-0.002734472732661157,0.010992063669794485,2.8922278456818193,35
400,3.75,3.7033357007968193,2.8407151228680485,0.07905913884824767,0.6662975439262904,0.00010519350599079337,0.78057143320192,0.017895784385184268,-0.0003028295313858845,0.009289061622450256,2.8441671842040717,22
400,4.0,3.966588632615776,2.916915647944869,0.01746666146809836,0.6662931569286105,2.117022881996897e-05,0.8022973625784936,0.004811620688548907,0.0008340711917326748,0.009352797021611724,2.9373342004381047,3
400,4.25,4.255231777342671,2.8509270644284435,0.0569748571148417,0.6663094768681905,0.00010985425485066594,0.7841058299310827,0.011941415513390827,0.0022053762032636748,0.015750439469319803,2.8636602683177546,19
400,4.5,4.502116635470879,2.7514235096779616,0.07039559847153425,0.6663003377510565,0.00012852807870040268,0.7740591787685187,0.01746257501723236,-0.003510415035198406,0.009841817952027734,2.742933304874358,28
400,4.75,4.710314609297164,2.654588648407374,0.12307173383365279,0.6662333340869216,9.666957117306923e-05,0.764360153412161,0.012549665745838871,-0.00418311380959058,0.00974397324898125,2.6723430913974653,12
400,5.0,5.0018263870630815,2.7635871094823554,0.07397724123531613,0.666345361326997,7.891002107095729e-05,0.7689254212664165,0.01893619494191072,-0.003411934582321558,0.011096417065855542,2.767105363753772,13
400,5.25,5.254271066150535,2.6588225471988283,0.0604527656777949,0.6662454961614193,9.827685308801895e-05,0.7613732251108979,0.013807657932845135,-0.0012406453469201513,0.011804967531042179,2.6593128924772644,20
400,5.5,5.4942482643868225,2.5687871043291866,0.10847947053423217,0.6661650300584218,0.00014274685601810361,0.7422114035217723,0.02090146065190474,-0.001834558258416829,0.010807262464495126,2.5711013497891604,38
400,5.75,5.740294332713654,2.582711263215807,0.11314535847883798,0.6662376140721485,6.246664009249464e-05,0.7465695403491337,0.025386634271324034,4.696858343471275e-05,0.0071128089831249885,2.5550803259667427,8
400,6.0,6.030969929962104,2.583010662091558,0.06006067432108881,0.6661357144599007,0.00011786742614980947,0.7481809584469858,0.010231059398383383,0.004469103628821194,0.01105582332804203,2.5581443189887327,18
400,6.25,6.258391906592617,2.5081080856524522,0.07218488046282105,0.6661441902066585,0.00011277225521993308,0.7318071253354219,0.02010977551943427,-0.0017706878108510488,0.01134532399302486,2.5210349184367296,23
400,6.5,6.489157449305684,2.4390700977687074,0.06349552651473667,0.6661069320038182,9.872021320386342e-05,0.7225937996682945,0.019489632309822726,-0.006612483889281788,0.00853006405575587,2.4253599946744258,19
