readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,0,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,1,-1,4139,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,1,-1,4390,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,1,-1,9001,0
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,1,-1,9001,0
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,2,1,4629,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,2,1,4915,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,2,1,7234,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,2,1,3313,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,3,-1,4424,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,3,-1,4412,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,3,-1,4335,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,3,-1,6739,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,4,1,4195,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,4,1,4231,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,4,1,3878,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,4,1,3279,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,5,-1,3763,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,5,-1,3654,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,5,-1,3432,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,5,-1,7234,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,6,-1,4117,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,6,-1,3894,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,6,-1,3817,1
L3_COPIE_UNIQUE,STNO_FROZEN_U,3000,6,-1,7930,1
L0_PAIRE_JUMELLE,STNO_FROZEN_U,3000,7,-1,4371,1
L1_PAIRE_BRUIT_INDEP,STNO_FROZEN_U,3000,7,-1,4206,1
L2_REF_NON_STIM,STNO_FROZEN_U,3000,7,-1,4656,1
