bras,gain_u,sigma_capteur,seed,R_mean,u_mean,u_max,sigma_social_capte
FULL,1.0,0.8,99,0.35572691933915085,0.3006924405806412,0.41136494977231086,1.0233319677748083
FULL,1.0,0.8,314,0.28152696531432087,0.3010906110721966,0.41205113344058203,1.0247441502019772
FULL,1.0,0.8,2024,0.3313499859047982,0.3003911082990321,0.4110075166924298,1.022259745412432
FULL,1.0,0.8,888,0.3576660895984296,0.3002082041303328,0.4104668633506534,1.0210256369293724
FULL,5.0,0.0,42,0.5602650066085112,0.17855159237760107,0.2972035653557239,0.1905768468765292
FULL,5.0,0.0,123,0.2853845440044369,0.13556759721010483,0.1940338618544894,0.13031317290579086
FULL,5.0,0.0,777,0.4978052821809793,0.16586372937747387,0.2694666707887182,0.17853736395261066
FULL,5.0,0.0,17,0.5940793383101228,0.13878628077404487,0.23018882833094204,0.15166934083773043
FULL,5.0,0.0,256,0.48476663294445366,0.16195666918906576,0.2597181906274262,0.17202314552649786
FULL,5.0,0.0,1337,0.3954704447407173,0.15417838030058728,0.23856220027860808,0.16043566642058624
FULL,5.0,0.0,99,0.5417405674525252,0.16037396423793507,0.25593367680579393,0.1687323395989418
FULL,5.0,0.0,314,0.42991830725343605,0.16839405569101734,0.2744072179183449,0.1815037033702114
FULL,5.0,0.0,2024,0.540646153107637,0.15718150776912793,0.2513345417951083,0.16769088468219948
FULL,5.0,0.0,888,0.5796938666540523,0.1483452593736772,0.24619298793558347,0.15931592960468063
FULL,5.0,0.05,42,0.5334611774472633,0.20594736550278497,0.344629679237268,0.20813741638411876
FULL,5.0,0.05,123,0.24443125472525332,0.16184483327927865,0.23399661602632432,0.14716375888934335
FULL,5.0,0.05,777,0.46218549399508,0.19251537891128478,0.31284635437563735,0.19385303719247354
FULL,5.0,0.05,17,0.5694997876321481,0.16589856886024434,0.27162137997258734,0.16828200731727536
FULL,5.0,0.05,256,0.4550676794333419,0.1886569356742192,0.30285124664371105,0.1876421287542067
FULL,5.0,0.05,1337,0.3743970361677683,0.1802422257724559,0.27915386960814215,0.17509525877756443
FULL,5.0,0.05,99,0.5072145879594786,0.18662802568489842,0.29736700671814675,0.1836619249554851
FULL,5.0,0.05,314,0.39223114600092424,0.19517896910173027,0.3171447398099231,0.19649789054560918
FULL,5.0,0.05,2024,0.5060832521078816,0.18321420560940407,0.29132688477366747,0.1818292161127834
FULL,5.0,0.05,888,0.5460031091518289,0.17489325942963724,0.2868735782744039,0.17545115486901253
FULL,5.0,0.1,42,0.443515334096288,0.2845520993676477,0.49090513064176333,0.2661273497941206
FULL,5.0,0.1,123,0.15464929158888893,0.23765899809587948,0.3611833851840462,0.1997995687133063
FULL,5.0,0.1,777,0.3697477718692617,0.26999559783007765,0.45338893944755904,0.2482037295026364
FULL,5.0,0.1,17,0.4759947687285585,0.24143321722084082,0.39723039632169,0.21824577091939623
FULL,5.0,0.1,256,0.36901364564988864,0.26587795534058056,0.4402854841250556,0.241186797407822
FULL,5.0,0.1,1337,0.30555361870522374,0.2560649691621658,0.41117350716287393,0.22613281678142677
