N,m,D,seed,lambda2,H_cont,synchrony,u_mean
100,8,0.15,4,6.057189193272978,2.6173848760262324,-0.004084556090654527,0.9999425605129438
100,8,0.15,5,5.97099005488713,2.727054906960666,-0.005845485681150446,0.9999444262853882
100,8,0.15,6,5.615353755549957,2.7920146184704815,-0.004070246765992943,0.9998500076837382
100,8,0.15,7,6.0178574623705225,2.744051195344045,-0.0018427709480505678,0.9998784586264811
100,8,0.15,8,5.9234789285939256,2.806345885740154,-0.004353634401619997,0.999910359342839
100,8,0.15,9,5.668758812136272,2.7948856847987544,-0.003126529130744277,0.9999450765096694
100,9,0.0,0,6.824245711861723,4.658023004858627,0.06678149601807117,0.04999999999999999
100,9,0.0,1,6.760803998003243,4.716264499447463,0.09439392062389998,0.04999999999999999
100,9,0.0,2,6.938839809756916,4.737304740840826,0.060796135890473814,0.04999999999999999
100,9,0.0,3,6.766482460813114,4.805722189481393,0.06420910529278123,0.04999999999999999
100,9,0.0,4,6.723745816676628,4.8345233776207195,0.060634997435836675,0.04999999999999999
100,9,0.0,5,6.888585957729372,4.74880125573908,0.10211465012307908,0.04999999999999999
100,9,0.0,6,6.93929126529892,4.760576231988139,0.11418373341163122,0.04999999999999999
100,9,0.0,7,6.733565814504889,4.803816366785168,0.06554056586034622,0.04999999999999999
100,9,0.0,8,6.69694057199457,4.64888893658463,0.08290128164234074,0.04999999999999999
100,9,0.0,9,6.938858415512432,4.781351500786502,0.057473450489209085,0.04999999999999999
100,9,0.15,0,6.824245711861723,2.59642892277108,0.0003099724962775026,0.9999301998621105
100,9,0.15,1,6.760803998003243,2.5558629368833308,-0.0016724753540825347,0.9999264999683969
100,9,0.15,2,6.938839809756916,2.6199847388035833,0.0015348014950060964,0.9999960990685431
100,9,0.15,3,6.766482460813114,2.4941395827812562,-0.00402899829535443,0.999984992831094
100,9,0.15,4,6.723745816676628,2.623433792964941,-0.0015519574720747197,0.9999271020016248
100,9,0.15,5,6.888585957729372,2.5899251270310586,-0.003950652255181499,0.9999390009428821
100,9,0.15,6,6.93929126529892,2.58952376963753,0.00024113759590087196,0.9999475803272369
100,9,0.15,7,6.733565814504889,2.6277601425253962,-0.0025919605779694634,0.999944603749073
