n_pivots,m,D,seed,f_v,ac50,lz,winner,dist_drive,dist_intrinsic
6,3,0.0,999,0.028,0.5863542412956141,1.4771821694726084,INTRINSIC,0.022000000000000002,0.018000000000000002
6,3,0.0,314,0.015333333333333332,0.5813862452388023,1.528119485661319,INTRINSIC,0.03466666666666667,0.005333333333333332
6,3,0.15,42,0.020666666666666667,0.2658075730362572,1.7191344213689839,INTRINSIC,0.029333333333333336,0.010666666666666666
6,3,0.15,123,0.026,0.2655349554344507,1.642728447085918,INTRINSIC,0.024000000000000004,0.016
6,3,0.15,777,0.0033333333333333335,0.6526378007971428,1.4771821694726084,INTRINSIC,0.04666666666666667,0.006666666666666666
6,3,0.15,999,0.018,0.35572713345411416,1.7955403956520497,INTRINSIC,0.032,0.007999999999999998
6,3,0.15,314,0.013333333333333334,0.5541000469835866,1.6681971051802733,INTRINSIC,0.03666666666666667,0.003333333333333334
6,3,0.5,42,0.028666666666666667,0.1020988370108866,1.897415028029471,INTRINSIC,0.021333333333333336,0.018666666666666665
6,3,0.5,123,0.027333333333333334,0.24571715135704963,1.6809314342274508,INTRINSIC,0.02266666666666667,0.017333333333333333
6,3,0.5,777,0.0033333333333333335,0.5871739938670022,1.4262448532838976,INTRINSIC,0.04666666666666667,0.006666666666666666
6,3,0.5,999,0.023333333333333334,0.20629919209516223,1.8846806989822933,INTRINSIC,0.02666666666666667,0.013333333333333334
6,3,0.5,314,0.016,0.4856988040464824,1.6681971051802733,INTRINSIC,0.034,0.006
6,6,0.0,42,0.014,0.7151786311155336,1.3880418661423646,INTRINSIC,0.036000000000000004,0.004
6,6,0.0,123,0.014,0.6716429104967837,1.3498388790008315,INTRINSIC,0.036000000000000004,0.004
6,6,0.0,777,0.007333333333333333,0.638061545432433,1.4389791823310751,INTRINSIC,0.04266666666666667,0.002666666666666667
6,6,0.0,999,0.025333333333333333,0.5747812874738734,1.489916498519786,INTRINSIC,0.02466666666666667,0.015333333333333332
6,6,0.0,314,0.014,0.5833022876337292,1.5026508275669637,INTRINSIC,0.036000000000000004,0.004
6,6,0.15,42,0.012,0.4044910342144599,1.5663224728028518,INTRINSIC,0.038000000000000006,0.002
6,6,0.15,123,0.010666666666666666,0.831003841815693,1.2479642466234104,INTRINSIC,0.03933333333333334,0.0006666666666666661
6,6,0.15,777,0.006,0.6700289613323647,1.0314806528213902,INTRINSIC,0.044000000000000004,0.004
6,6,0.15,999,0.028,0.5463462388178079,1.6681971051802733,INTRINSIC,0.022000000000000002,0.018000000000000002
6,6,0.15,314,0.01,0.6294487329225984,1.5408538147084965,INTRINSIC,0.04,0.0
6,6,0.5,42,0.02,0.2564381709323788,1.8846806989822933,INTRINSIC,0.030000000000000002,0.01
6,6,0.5,123,0.028666666666666667,0.2510575906907271,1.6172597889915623,INTRINSIC,0.021333333333333336,0.018666666666666665
6,6,0.5,777,0.010666666666666666,0.5456931109139117,1.5790568018500295,INTRINSIC,0.03933333333333334,0.0006666666666666661
6,6,0.5,999,0.03333333333333333,0.1684645185333852,1.8719463699351158,F_DRIVE,0.01666666666666667,0.02333333333333333
6,6,0.5,314,0.016,0.4490438297335039,1.6681971051802733,INTRINSIC,0.034,0.006
7,3,0.0,42,0.015333333333333332,0.6879487419266913,1.4262448532838976,INTRINSIC,0.03466666666666667,0.005333333333333332
7,3,0.0,123,0.016666666666666666,0.6562508623681326,1.3625732080480093,INTRINSIC,0.03333333333333334,0.006666666666666666
7,3,0.0,777,0.01,0.6131611403206663,1.528119485661319,INTRINSIC,0.04,0.0
7,3,0.0,999,0.028,0.5434811405431618,1.489916498519786,INTRINSIC,0.022000000000000002,0.018000000000000002
7,3,0.0,314,0.015333333333333332,0.5500007170485683,1.489916498519786,INTRINSIC,0.03466666666666667,0.005333333333333332
7,3,0.15,42,0.024666666666666667,0.1900020623001563,1.782806066604872,INTRINSIC,0.025333333333333336,0.014666666666666666
7,3,0.15,123,0.027333333333333334,0.18640157810101746,1.7318687504161614,INTRINSIC,0.02266666666666667,0.017333333333333333
7,3,0.15,777,0.004666666666666667,0.6296805874432032,1.4644478404254304,INTRINSIC,0.04533333333333334,0.005333333333333333
7,3,0.15,999,0.023333333333333334,0.2725178081697207,1.8719463699351158,INTRINSIC,0.02666666666666667,0.013333333333333334
7,3,0.15,314,0.016,0.5003451552306281,1.6554627761330956,INTRINSIC,0.034,0.006
7,3,0.5,42,0.03,0.030179265657576282,1.897415028029471,INTRINSIC,0.020000000000000004,0.019999999999999997
7,3,0.5,123,0.03133333333333333,0.17537628147333287,1.7700717375576944,F_DRIVE,0.01866666666666667,0.02133333333333333
7,3,0.5,777,0.004,0.5657001741305636,1.5026508275669637,INTRINSIC,0.046,0.006
7,3,0.5,999,0.024666666666666667,0.12747309355653086,1.9483523442181816,INTRINSIC,0.025333333333333336,0.014666666666666666
7,3,0.5,314,0.017333333333333333,0.440012373939311,1.7446030794633391,INTRINSIC,0.03266666666666667,0.007333333333333332
7,6,0.0,42,0.018,0.6902480252205911,1.4644478404254304,INTRINSIC,0.032,0.007999999999999998
7,6,0.0,123,0.018,0.6568871345824864,1.337104549953654,INTRINSIC,0.032,0.007999999999999998
7,6,0.0,777,0.008666666666666666,0.6176064499596413,1.5026508275669637,INTRINSIC,0.04133333333333333,0.001333333333333334
7,6,0.0,999,0.028,0.5304495502487214,1.528119485661319,INTRINSIC,0.022000000000000002,0.018000000000000002
7,6,0.0,314,0.015333333333333332,0.5521688032428529,1.5026508275669637,INTRINSIC,0.03466666666666667,0.005333333333333332
7,6,0.15,42,0.016,0.33864439792029694,1.62999411803874,INTRINSIC,0.034,0.006
7,6,0.15,123,0.0013333333333333333,0.8512577301208457,1.2097612594818774,INTRINSIC,0.04866666666666667,0.008666666666666666
7,6,0.15,777,0.008666666666666666,0.614584893600895,1.5026508275669637,INTRINSIC,0.04133333333333333,0.001333333333333334
7,6,0.15,999,0.009333333333333334,0.8270674150238367,1.260698575670588,INTRINSIC,0.04066666666666667,0.0006666666666666661
7,6,0.15,314,0.010666666666666666,0.7434596626335986,1.146089614245989,INTRINSIC,0.03933333333333334,0.0006666666666666661
7,6,0.5,42,0.022,0.19965106419568568,1.8846806989822933,INTRINSIC,0.028000000000000004,0.011999999999999999
7,6,0.5,123,0.03133333333333333,0.144679821574994,1.7573374085105167,F_DRIVE,0.01866666666666667,0.02133333333333333
7,6,0.5,777,0.010666666666666666,0.5237097705040056,1.6554627761330956,INTRINSIC,0.03933333333333334,0.0006666666666666661
7,6,0.5,999,0.034666666666666665,0.1215732873301332,1.8719463699351158,F_DRIVE,0.015333333333333338,0.024666666666666663
7,6,0.5,314,0.017333333333333333,0.39058144641555387,1.7446030794633391,INTRINSIC,0.03266666666666667,0.007333333333333332
8,3,0.0,42,0.018,0.6621284928025304,1.528119485661319,INTRINSIC,0.032,0.007999999999999998
8,3,0.0,123,0.014,0.6986213425528492,1.3880418661423646,INTRINSIC,0.036000000000000004,0.004
8,3,0.0,777,0.01,0.5892402616168209,1.5535881437556742,INTRINSIC,0.04,0.0
8,3,0.0,999,0.02666666666666667,0.4984554676285351,1.5790568018500295,INTRINSIC,0.023333333333333334,0.01666666666666667
8,3,0.0,314,0.018,0.5140555474639772,1.6172597889915623,INTRINSIC,0.032,0.007999999999999998
8,3,0.15,42,0.026,0.1291066728173089,1.8082747246992272,INTRINSIC,0.024000000000000004,0.016
8,3,0.15,123,0.038,0.10370961520899175,1.8846806989822933,F_DRIVE,0.012000000000000004,0.027999999999999997
8,3,0.15,777,0.006666666666666667,0.602382496925638,1.528119485661319,INTRINSIC,0.043333333333333335,0.003333333333333333
8,3,0.15,999,0.027333333333333334,0.1947944527642681,1.9228836861238263,INTRINSIC,0.02266666666666667,0.017333333333333333
8,3,0.15,314,0.017333333333333333,0.44137300758318565,1.7446030794633391,INTRINSIC,0.03266666666666667,0.007333333333333332
8,3,0.5,42,0.035333333333333335,-0.0643087762628823,1.9356180151710038,F_DRIVE,0.014666666666666668,0.025333333333333333
8,3,0.5,123,0.03933333333333333,0.07377591972350336,1.8719463699351158,F_DRIVE,0.010666666666666672,0.02933333333333333
8,3,0.5,777,0.005333333333333333,0.528277241620515,1.5408538147084965,INTRINSIC,0.04466666666666667,0.004666666666666667
