topology,n_nonlin,condition,gain_u,seed,R_mean,R_std,p_mean,u_mean,u_max
LATTICE_10x10,0.0,FULL,1.0,2024,0.28694428182305415,0.09440018449911157,0.07585559056670368,0.060912963885146366,0.0684936923489798
LATTICE_10x10,0.0,FULL,1.0,888,0.26633050558131965,0.04527733020485852,0.0714189191967487,0.060404331920463204,0.06745607569388586
LATTICE_10x10,0.0,FULL,2.0,42,0.44785767812019234,0.10008396277700923,0.09456883933927288,0.07711927663544774,0.09538287461321769
LATTICE_10x10,0.0,FULL,2.0,123,0.18270082222856251,0.04982686559715523,0.051598094358977144,0.07541687821137108,0.09172648724329825
LATTICE_10x10,0.0,FULL,2.0,777,0.35394939812568776,0.08476017735016997,0.07878722431680396,0.07366550215923487,0.09190503743837543
LATTICE_10x10,0.0,FULL,2.0,17,0.453169294018921,0.1556556918126263,0.0884928486160222,0.07614691113239445,0.09542320278106158
LATTICE_10x10,0.0,FULL,2.0,256,0.35227487012377723,0.04561943201852542,0.09382740657662324,0.0771689706203627,0.09517973610403631
LATTICE_10x10,0.0,FULL,2.0,1337,0.3961522217650786,0.09101298275259913,0.0841028658119799,0.07573741509252815,0.09541703766798408
LATTICE_10x10,0.0,FULL,2.0,99,0.285199595733797,0.11197828258194636,0.07186924913887953,0.07637176487776307,0.09422580346171458
LATTICE_10x10,0.0,FULL,2.0,314,0.31257300307210545,0.06253359159851249,0.08521832179036445,0.0768760703794712,0.09469373418970725
LATTICE_10x10,0.0,FULL,2.0,2024,0.28020024811273275,0.09848749873824797,0.07563002240626268,0.07664871962789052,0.09569232609589065
LATTICE_10x10,0.0,FULL,2.0,888,0.2613475463277303,0.047289033927820585,0.07128123057784536,0.07519899988394409,0.09279732295552141
LATTICE_10x10,0.0,FULL,3.0,42,0.436572184549107,0.1035399237801853,0.09353804763532882,0.0985468522154807,0.1322019510453975
LATTICE_10x10,0.0,FULL,3.0,123,0.18367711686155044,0.04902700082411828,0.05218455923603134,0.09497433635201583,0.1247471713276686
LATTICE_10x10,0.0,FULL,3.0,777,0.34387950257278455,0.07806753740950906,0.07830698607727886,0.09176500408991366,0.12512391089949013
LATTICE_10x10,0.0,FULL,3.0,17,0.44564105146855665,0.15755371453786404,0.08776144913016476,0.09659217300485046,0.13187570729154838
LATTICE_10x10,0.0,FULL,3.0,256,0.3467871102349144,0.04711547498638256,0.09326450993730898,0.09851939041182359,0.13175920721387904
LATTICE_10x10,0.0,FULL,3.0,1337,0.3833588285373528,0.08759068716472987,0.0834583054647937,0.09580248343326161,0.13208114981841043
LATTICE_10x10,0.0,FULL,3.0,99,0.273338767219687,0.11884697519372808,0.07109665811090451,0.09685180538041514,0.12939992250976048
LATTICE_10x10,0.0,FULL,3.0,314,0.3031314883692888,0.057688387283833145,0.08483633112656505,0.0978263309914986,0.1303330714046464
LATTICE_10x10,0.0,FULL,3.0,2024,0.2698262546973026,0.10449124229521799,0.07525719026087199,0.09746727988190734,0.13237056189219623
LATTICE_10x10,0.0,FULL,3.0,888,0.25290150583854365,0.05126076644801907,0.07104143489393294,0.09460986749443284,0.12669362006757334
LATTICE_10x10,0.0,FULL,5.0,42,0.40867060057821425,0.10567200677651231,0.09317736539919073,0.16356684462988602,0.25648756527906147
LATTICE_10x10,0.0,FULL,5.0,123,0.18229979329492887,0.04755011591680876,0.05443694363989729,0.15090104375791655,0.22723964096902496
LATTICE_10x10,0.0,FULL,5.0,777,0.3008633980265185,0.048556170221556984,0.07653275847871943,0.14353778146349902,0.22812520670218114
LATTICE_10x10,0.0,FULL,5.0,17,0.4013842068733316,0.18639926522642314,0.08669743652460815,0.15634887006377723,0.24897563445724302
LATTICE_10x10,0.0,FULL,5.0,256,0.29890831088087355,0.08380529885006338,0.09269649326726992,0.16342897810170856,0.25934332680981287
LATTICE_10x10,0.0,FULL,5.0,1337,0.3095156383165406,0.11217504286106598,0.08224825842462728,0.15456496344651044,0.25050628438829814
LATTICE_10x10,0.0,FULL,5.0,99,0.264860931617976,0.09882529958941923,0.06963416789651172,0.15686758554256391,0.24078941485935704
LATTICE_10x10,0.0,FULL,5.0,314,0.2699561678519328,0.05125262732974697,0.08466957232771602,0.15864605093482095,0.24331546966597567
LATTICE_10x10,0.0,FULL,5.0,2024,0.22360302837244156,0.1344295835854705,0.07450946903131236,0.15804984400198857,0.24716472941448214
LATTICE_10x10,0.0,FULL,5.0,888,0.20615203704288945,0.08333799017632981,0.07074726108353661,0.15018025548589548,0.23065046872470252
LATTICE_10x10,0.0,FULL,7.0,42,0.32142017541513396,0.1482241358171887,0.12382561841918752,0.29097950661988564,0.5907993881797564
LATTICE_10x10,0.0,FULL,7.0,123,0.19129812593255588,0.047594313588417134,0.07255192374215776,0.2526800598035819,0.49470682210389255
LATTICE_10x10,0.0,FULL,7.0,777,0.22664792492989178,0.03127902877736363,0.08857138207444709,0.23445517516716302,0.46639726589935443
LATTICE_10x10,0.0,FULL,7.0,17,0.351661822703065,0.18358458822262122,0.1077274724173629,0.26518400668647435,0.5210698742914146
LATTICE_10x10,0.0,FULL,7.0,256,0.24218552756662756,0.09664162834208845,0.11407345823286671,0.2810822357582977,0.527213511833241
LATTICE_10x10,0.0,FULL,7.0,1337,0.22766527276823492,0.1272738840322983,0.10457878168350718,0.2608049307757119,0.538749144285472
LATTICE_10x10,0.0,FULL,7.0,99,0.21783009862102842,0.1037062553106499,0.09263329921115374,0.2680492162910135,0.5093913986199321
LATTICE_10x10,0.0,FULL,7.0,314,0.20793362382013136,0.045957388749470925,0.11125997580112547,0.2774318145676816,0.5507366244818815
LATTICE_10x10,0.0,FULL,7.0,2024,0.2011141903351231,0.13454339686099587,0.09858671511170498,0.26902976579671983,0.5322674220515087
LATTICE_10x10,0.0,FULL,7.0,888,0.17723713470137106,0.09670856485985704,0.08666185892311949,0.2516134524753841,0.4976664386452203
LATTICE_10x10,0.0,FULL,10.0,42,0.2227446549092795,0.16768517942271288,0.2540588436825804,0.5452239066867309,0.9515892229789732
LATTICE_10x10,0.0,FULL,10.0,123,0.13409711386697856,0.0402635285388134,0.22961610233718455,0.548880706438515,0.9735857314831529
LATTICE_10x10,0.0,FULL,10.0,777,0.13754257722489666,0.06286573873690691,0.20646975422295805,0.4827297979513947,0.9413203051434647
LATTICE_10x10,0.0,FULL,10.0,17,0.2539668472770779,0.19160717576160807,0.21982860593036457,0.502616811220123,0.9251347244381668
LATTICE_10x10,0.0,FULL,10.0,256,0.16891523187240604,0.12001475499756226,0.2595152708732009,0.5593237288893212,0.9811580609255731
LATTICE_10x10,0.0,FULL,10.0,1337,0.15386333633322583,0.10845811667445929,0.22813658549235538,0.4998292331719557,0.9197248193071775
LATTICE_10x10,0.0,FULL,10.0,99,0.15878355930194812,0.0839367271160197,0.21523471744278141,0.5248638390451287,0.9572690140171796
LATTICE_10x10,0.0,FULL,10.0,314,0.12855888387864212,0.0511692312281126,0.24079967496382154,0.5373925700560593,0.9383003157650376
