bras,t_pulse,seed,dstar,flip_time,flip_ok,u_mean,u_filter_mean,reglage_filtre,reglage_u
B3a_FIXE_NIVEAU_U,4500,10,1,5136,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3a_FIXE_NIVEAU_U,4500,11,-1,5094,1,0.6509422913250281,-0.43158593337727347,,0.6509422913251072
B3b_FIXE_COUPLAGE,500,0,-1,1063,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,1,-1,1082,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,2,1,1066,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,3,-1,1071,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,4,1,1069,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,5,-1,1064,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,6,-1,1066,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,7,-1,1052,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,8,-1,1074,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,9,-1,1068,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,10,1,1068,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,500,11,-1,1061,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,0,-1,2186,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,1,-1,2215,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,2,1,2219,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,3,-1,2182,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,4,1,2231,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,5,-1,2173,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,6,-1,2169,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,7,-1,2202,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,8,-1,2220,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,9,-1,2195,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,10,1,2213,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,1500,11,-1,2251,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,0,-1,3798,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,1,-1,3757,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,2,1,3802,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,3,-1,3832,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,4,1,3760,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,5,-1,3809,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,6,-1,3775,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,7,-1,3791,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,8,-1,3774,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,9,-1,3748,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,10,1,3804,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,3000,11,-1,3813,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,0,-1,5285,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,1,-1,5216,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,2,1,5286,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,3,-1,5375,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,4,1,5266,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,5,-1,5343,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,6,-1,5292,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,7,-1,5337,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,8,-1,5268,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,9,-1,5263,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,10,1,5287,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3b_FIXE_COUPLAGE,4500,11,-1,5289,1,0.05000000000000756,-0.2238440826611159,-0.2238440826611057,
B3c_FIXE_COUPLAGE_LOCAL,500,0,-1,1062,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,1,-1,1081,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,2,1,1065,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,3,-1,1070,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,4,1,1068,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,5,-1,1063,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,6,-1,1065,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,7,-1,1051,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,8,-1,1074,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,9,-1,1067,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,10,1,1068,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,500,11,-1,1061,1,0.05000000000000756,-0.2262250279504334,-0.22622502795041244,
B3c_FIXE_COUPLAGE_LOCAL,1500,0,-1,2181,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,1,-1,2210,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
B3c_FIXE_COUPLAGE_LOCAL,1500,2,1,2215,1,0.05000000000000756,-0.2310808140803739,-0.23108081408042133,
