config,topo,m,i_stim,seed,node,degree,lz_full,lz_tail
FULL,ba_m3_functional,3,0.0,2,44,4,0.8777406603195607,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,45,8,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,46,5,0.7954524734146019,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,47,5,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,48,6,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,49,6,0.8503112646845744,1.245763738099176
FULL,ba_m3_functional,3,0.0,2,50,7,0.9874582428595058,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,51,1,1.1246052210344373,1.7440692333388463
FULL,ba_m3_functional,3,0.0,2,52,3,0.9325994515895332,1.3288146539724546
FULL,ba_m3_functional,3,0.0,2,53,5,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,54,4,0.8777406603195607,1.3288146539724546
FULL,ba_m3_functional,3,0.0,2,55,4,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,56,2,1.1246052210344373,1.6610183174655682
FULL,ba_m3_functional,3,0.0,2,57,6,0.9600288472245195,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,58,6,0.9325994515895332,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,59,6,0.8503112646845744,1.0796619063526194
FULL,ba_m3_functional,3,0.0,2,60,4,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,61,4,0.9325994515895332,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,62,5,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,63,6,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,64,4,1.0697464297644645,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,65,1,1.1246052210344373,1.9101710650854034
FULL,ba_m3_functional,3,0.0,2,66,2,0.9325994515895332,1.8271201492121252
FULL,ba_m3_functional,3,0.0,2,67,1,1.0697464297644645,1.8271201492121252
FULL,ba_m3_functional,3,0.0,2,68,3,0.9874582428595058,1.5779674015922898
FULL,ba_m3_functional,3,0.0,2,69,6,0.9325994515895332,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,70,6,0.9325994515895332,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,71,2,1.097175825399451,1.8271201492121252
FULL,ba_m3_functional,3,0.0,2,72,2,1.014887638494492,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,73,5,0.9874582428595058,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,74,3,1.0697464297644645,1.6610183174655682
FULL,ba_m3_functional,3,0.0,2,75,1,1.1794640123044096,1.3288146539724546
FULL,ba_m3_functional,3,0.0,2,76,4,0.8228818690495882,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,77,6,1.0697464297644645,1.6610183174655682
FULL,ba_m3_functional,3,0.0,2,78,4,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,79,6,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,80,2,1.097175825399451,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,81,4,0.9600288472245195,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,82,1,0.9051700559545469,1.4949164857190111
FULL,ba_m3_functional,3,0.0,2,83,4,0.9325994515895332,1.245763738099176
FULL,ba_m3_functional,3,0.0,2,84,4,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,85,4,0.8777406603195607,1.5779674015922898
FULL,ba_m3_functional,3,0.0,2,86,4,0.9051700559545469,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,87,8,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,88,2,1.0697464297644645,1.6610183174655682
FULL,ba_m3_functional,3,0.0,2,89,9,0.9600288472245195,1.245763738099176
FULL,ba_m3_functional,3,0.0,2,90,4,0.7954524734146019,0.9966109904793409
FULL,ba_m3_functional,3,0.0,2,91,2,1.014887638494492,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,92,5,0.8503112646845744,1.3288146539724546
FULL,ba_m3_functional,3,0.0,2,93,4,0.8503112646845744,1.245763738099176
FULL,ba_m3_functional,3,0.0,2,94,10,0.8777406603195607,1.4949164857190111
FULL,ba_m3_functional,3,0.0,2,95,5,0.8777406603195607,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,96,1,0.9325994515895332,1.8271201492121252
FULL,ba_m3_functional,3,0.0,2,97,4,0.8228818690495882,1.245763738099176
FULL,ba_m3_functional,3,0.0,2,98,1,0.9874582428595058,1.411865569845733
FULL,ba_m3_functional,3,0.0,2,99,2,0.9600288472245195,1.411865569845733
FULL,ba_m3_functional,3,0.0,3,0,9,0.7954524734146019,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,1,30,0.8777406603195607,1.245763738099176
FULL,ba_m3_functional,3,0.0,3,2,17,0.8777406603195607,1.3288146539724546
FULL,ba_m3_functional,3,0.0,3,3,32,0.7954524734146019,1.3288146539724546
FULL,ba_m3_functional,3,0.0,3,4,13,0.7954524734146019,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,5,10,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,3,6,9,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,7,15,0.8228818690495882,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,8,4,0.9600288472245195,1.411865569845733
FULL,ba_m3_functional,3,0.0,3,9,6,0.8777406603195607,1.1627128222258978
FULL,ba_m3_functional,3,0.0,3,10,16,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,3,11,9,0.9051700559545469,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,12,12,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,13,11,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,14,9,0.9051700559545469,1.4949164857190111
FULL,ba_m3_functional,3,0.0,3,15,2,1.0423170341294783,1.4949164857190111
FULL,ba_m3_functional,3,0.0,3,16,4,0.8503112646845744,1.411865569845733
FULL,ba_m3_functional,3,0.0,3,17,8,0.8777406603195607,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,18,10,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,19,4,0.9325994515895332,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,20,5,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,21,9,0.8503112646845744,0.9966109904793409
FULL,ba_m3_functional,3,0.0,3,22,1,0.8503112646845744,1.245763738099176
FULL,ba_m3_functional,3,0.0,3,23,5,0.8503112646845744,1.3288146539724546
FULL,ba_m3_functional,3,0.0,3,24,2,1.0423170341294783,1.5779674015922898
