budget_lvl,mode,family,label,oracle,c_doubt,c_conv,alloc,correct
0.75,UNIFORME,TOPOLOGIE,TOPO(ba),987,161,81,1172.8541666666667,1
0.75,UNIFORME,EVIDENCE,EVID(n=1,E=0.28),2000,155,82,1172.8541666666667,0
0.75,UNIFORME,CONTRADICTION,CONTRA(+4/-3),2000,268,132,1172.8541666666667,0
0.75,UNIFORME,TOPOLOGIE,TOPO(ba),1,2000,81,1172.8541666666667,1
0.75,UNIFORME,CONTRADICTION,CONTRA(+3/-2),2000,184,134,1172.8541666666667,1
0.75,UNIFORME,TOPOLOGIE,TOPO(ba),873,155,90,1172.8541666666667,1
0.75,UNIFORME,TOPOLOGIE,TOPO(ring),2000,271,97,1172.8541666666667,1
0.75,UNIFORME,CONTRADICTION,CONTRA(+3/-2),1635,154,81,1172.8541666666667,0
0.75,CONVERGENCE,EVIDENCE,EVID(n=2,E=0.29),1523,155,125,125,1
0.75,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.32),1465,163,81,81,1
0.75,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,266,81,81,0
0.75,CONVERGENCE,EVIDENCE,EVID(n=3,E=0.49),2000,165,81,81,1
0.75,CONVERGENCE,TOPOLOGIE,TOPO(ba),987,161,81,81,1
0.75,CONVERGENCE,EVIDENCE,EVID(n=1,E=0.28),2000,155,82,82,1
0.75,CONVERGENCE,CONTRADICTION,CONTRA(+4/-3),2000,268,132,132,1
0.75,CONVERGENCE,TOPOLOGIE,TOPO(ba),1,2000,81,81,1
0.75,CONVERGENCE,CONTRADICTION,CONTRA(+3/-2),2000,184,134,134,1
0.75,CONVERGENCE,TOPOLOGIE,TOPO(ba),873,155,90,90,1
0.75,CONVERGENCE,TOPOLOGIE,TOPO(ring),2000,271,97,97,1
0.75,CONVERGENCE,CONTRADICTION,CONTRA(+3/-2),1635,154,81,81,1
0.75,DOUTE,EVIDENCE,EVID(n=1,E=0.42),1669,161,81,161,1
0.75,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,172,114,172,1
0.75,DOUTE,TOPOLOGIE,TOPO(ring),1,171,88,171,1
0.75,DOUTE,EVIDENCE,EVID(n=3,E=0.42),2000,160,81,160,1
0.75,DOUTE,TOPOLOGIE,TOPO(ba),873,1466,140,1466,1
0.75,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,180,114,180,1
0.75,DOUTE,TOPOLOGIE,TOPO(ba),1,179,81,179,1
0.75,DOUTE,EVIDENCE,EVID(n=2,E=0.44),1986,169,94,169,1
0.75,DOUTE,TOPOLOGIE,TOPO(ba),1,186,121,186,1
0.75,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,178,141,178,1
0.75,DOUTE,CONTRADICTION,CONTRA(+4/-3),2000,280,156,280,1
0.75,DOUTE,EVIDENCE,EVID(n=1,E=0.31),1987,172,81,172,1
0.75,UNIFORME,EVIDENCE,EVID(n=1,E=0.42),1669,161,81,1172.8541666666667,0
