m,rule,graph_seed,dyn_seed,cpu_time_s,cpu_energy_J,stno_time_s,stno_energy_J,gst_time_s,gst_energy_J,nbo2_time_s,nbo2_energy_J,h_cont,h_cog,sync
3,HUBS_BROADCAST,3,777,0.9320975000009639,60.586337500062655,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.7675507028162087,0.25379697082184,0.03650388272955501
5,UNDIRECTED,1,42,1.0909135000038077,70.9093775002475,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.191459433825445,0.0,-0.005805661245379782
5,UNDIRECTED,1,123,1.0879273999962606,70.71528099975694,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.2602552550235937,0.0,-0.005505647507421904
5,UNDIRECTED,1,777,1.0788179000010132,70.12316350006586,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.2088593091731092,0.0,-2.7477245713744657e-05
5,UNDIRECTED,2,42,1.1264984000008553,73.2223960000556,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.192600583697533,0.0,0.0014555803928926743
5,UNDIRECTED,2,123,1.12056450000091,72.83669250005914,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.273611721266514,0.0,-0.0027632993398054796
5,UNDIRECTED,2,777,1.112670499998785,72.32358249992103,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.2340635388638734,0.0,0.00010302129768208279
5,UNDIRECTED,3,42,1.1169492000044556,72.60169800028962,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.073067599330868,0.0,-0.0033332380854129
5,UNDIRECTED,3,123,1.136261800005741,73.85701700037316,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.1747365951463786,0.0,-0.00028367650861919327
5,UNDIRECTED,3,777,1.0894067000044743,70.81143550029083,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.3749886383629257,0.0,0.011221589343979505
5,RANDOM,1,42,0.9672300000020186,62.86995000013121,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.4844900003795747,0.0,0.01171579696609228
5,RANDOM,1,123,0.9745049999983166,63.34282499989058,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.472714570317946,0.0,0.0009129797565271882
5,RANDOM,1,777,1.0089293999990332,65.58041099993716,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.422277911134813,0.0,0.02235229662799235
5,RANDOM,2,42,0.993577399996866,64.58253099979629,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.469878866130783,0.0,-0.0030398786981037586
5,RANDOM,2,123,1.0000938000011956,65.00609700007772,6.741573033707866e-09,2.02247191011236e-09,6.741573033707864e-07,3.84e-13,6.741573033707865e-06,6.75e-08,3.475585593515573,0.0,0.02457113163468048
