readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L0_JUMELLE,STNO_FULL,4500,11,-1,9001,0
L1_BRUIT_INDEP,STNO_FULL,4500,11,-1,9001,0
L4_ETAT_INDEP,STNO_FULL,4500,11,-1,9001,0
L5_OMEGA_INDEP,STNO_FULL,4500,11,-1,7315,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FULL,4500,11,-1,7249,1
L0_JUMELLE,STNO_FROZEN_U,1500,0,-1,2612,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,0,-1,2561,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,0,-1,3079,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,0,-1,4733,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,0,-1,4027,1
L0_JUMELLE,STNO_FROZEN_U,1500,1,-1,2425,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,1,-1,2741,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,1,-1,2378,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,1,-1,2551,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,1,-1,2385,1
L0_JUMELLE,STNO_FROZEN_U,1500,2,1,2867,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,2,1,3359,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,2,1,2278,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,2,1,2315,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,2,1,2568,1
L0_JUMELLE,STNO_FROZEN_U,1500,3,-1,2532,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,3,-1,2828,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,3,-1,3631,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,3,-1,5010,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,3,-1,4129,1
L0_JUMELLE,STNO_FROZEN_U,1500,4,1,2890,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,4,1,3100,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,4,1,2841,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,4,1,2807,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,4,1,2784,1
L0_JUMELLE,STNO_FROZEN_U,1500,5,-1,2330,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,5,-1,2188,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,5,-1,2911,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,5,-1,2421,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,5,-1,2343,1
L0_JUMELLE,STNO_FROZEN_U,1500,6,-1,2472,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,6,-1,2546,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,6,-1,3376,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,6,-1,3477,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,6,-1,2799,1
L0_JUMELLE,STNO_FROZEN_U,1500,7,-1,2685,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,7,-1,2711,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,7,-1,2839,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,7,-1,3201,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,1500,7,-1,2736,1
L0_JUMELLE,STNO_FROZEN_U,1500,8,-1,2478,1
L1_BRUIT_INDEP,STNO_FROZEN_U,1500,8,-1,2536,1
L4_ETAT_INDEP,STNO_FROZEN_U,1500,8,-1,2638,1
L5_OMEGA_INDEP,STNO_FROZEN_U,1500,8,-1,2800,1
