t_pulse,seed,dstar,t_consensus,correct_B400,conf_u_naif_B400,conf_u_inv_B400,conf_sig_B400,conf_tcons_B400,conf_stab_B400,correct_B800,conf_u_naif_B800,conf_u_inv_B800,conf_sig_B800,conf_tcons_B800,conf_stab_B800,correct_B1600,conf_u_naif_B1600,conf_u_inv_B1600,conf_sig_B1600,conf_tcons_B1600,conf_stab_B1600
350,11,-1,372,0,0.1795440891428578,0.8204559108571422,0.8066050787431233,0.93,1.0,1,0.10921842708689511,0.8907815729131049,0.9081316759697876,0.465,0.9075,1,0.10927017353841217,0.8907298264615878,0.8642698751199713,0.2325,0.005
350,12,-1,380,0,0.16683787698175967,0.8331621230182403,0.7865549484207934,0.95,1.0,1,0.09928017651984244,0.9007198234801576,0.91821875409977,0.475,0.9225,0,0.09533824922545231,0.9046617507745477,0.8732460657394591,0.2375,0.9175
350,13,1,221,1,0.3998087952089747,0.6001912047910253,0.546694929304056,0.5525,0.445,0,0.11593764341979262,0.8840623565802074,0.8174110835016996,0.27625,0.3975,1,0.1141702797703743,0.8858297202296257,0.8568999204853505,0.138125,1.0
350,14,-1,374,0,0.2423528554223805,0.7576471445776195,0.772182855514097,0.935,1.0,1,0.1438920730607398,0.8561079269392602,0.9055862754536731,0.4675,0.905,0,0.14549868412338474,0.8545013158766153,0.8692077969558942,0.23375,0.5675
350,15,1,212,1,0.45160088187967506,0.5483991181203249,0.5806623257509915,0.53,0.3675,0,0.10877198336372795,0.891228016636272,0.8079909219481229,0.265,0.345,1,0.10566758181969338,0.8943324181803066,0.8778647664695834,0.1325,0.7525
350,16,1,194,1,0.49953998102676833,0.5004600189732317,0.3747086198815278,0.485,0.17,0,0.11837930102466043,0.8816206989753396,0.7717265415817808,0.2425,0.3275,1,0.09768667996366476,0.9023133200363352,0.8638747124510049,0.12125,0.81
350,17,1,193,0,0.43979107935818385,0.5602089206418162,0.5836781571829757,0.4825,0.82,0,0.10949690664877965,0.8905030933512204,0.7958394100495728,0.24125,0.42,1,0.1076792554459377,0.8923207445540623,0.8912772289653362,0.120625,0.6475
350,18,-1,380,0,0.20560057636761453,0.7943994236323855,0.7420020626813694,0.95,1.0,1,0.11954540399963531,0.8804545960003647,0.893588428225093,0.475,0.915,0,0.12495691556287358,0.8750430844371264,0.8814567855316167,0.2375,0.7225
350,19,-1,380,0,0.2601168630305323,0.7398831369694677,0.7777993323504064,0.95,1.0,1,0.1361177194846478,0.8638822805153522,0.8865181307138562,0.475,0.905,0,0.13477397911988986,0.8652260208801101,0.8694752169697275,0.2375,1.0
350,20,-1,387,0,0.20859634277610983,0.7914036572238902,0.7352849289924632,0.9675,1.0,1,0.11372833197355414,0.8862716680264459,0.8914162428110186,0.48375,0.885,0,0.11779071354947523,0.8822092864505248,0.8789291004247485,0.241875,1.0
350,21,-1,374,0,0.2369248287338579,0.7630751712661421,0.7210677983223214,0.935,1.0,1,0.12185804709655612,0.8781419529034439,0.8937953466978136,0.4675,0.9125,0,0.12123282421802595,0.878767175781974,0.8497384087041018,0.23375,0.6275
350,22,-1,374,0,0.19624053230663174,0.8037594676933683,0.7663149248910689,0.935,1.0,1,0.11446141142873645,0.8855385885712636,0.9093640970281924,0.4675,0.915,0,0.11640803056147186,0.8835919694385281,0.8705631972440003,0.23375,1.0
350,23,-1,381,0,0.23619975948711125,0.7638002405128888,0.7447106167535484,0.9525,1.0,1,0.1315598409292248,0.8684401590707752,0.8932534299278144,0.47625,0.9,0,0.12534445978311481,0.8746555402168852,0.8645046234896179,0.238125,0.575
700,0,-1,378,0,0.18768694162374844,0.8123130583762516,0.7548853411647146,0.945,1.0,1,0.11518697574157866,0.8848130242584213,0.8986117970427406,0.4725,0.9075,0,0.125447499098011,0.874552500901989,0.8917759130957633,0.23625,1.0
700,1,-1,467,0,0.2538882939757906,0.7461117060242094,0.6605537355435905,1.0,1.0,1,0.13668852486502348,0.8633114751349765,0.8742693806920845,0.58375,0.9025,0,0.14328385561183477,0.8567161443881652,0.8852853076612968,0.291875,0.305
