N,c,seed,lambda2,H_stable,U4,LZ,sync,H_cont
100,1.0714285714285714,18,1.7345214274390888,3.5335535301011927,0.6654556619193355,0.8234114287213358,0.03774158909573402,3.642501142157966
100,1.0714285714285714,19,1.7380519480485157,3.437421268601343,0.6658093520804161,0.8295041680423205,0.007506835184454982,3.4316131149762223
100,1.0714285714285714,20,1.837152260041492,3.3714387142115156,0.6650086205101022,0.8228170151290451,-0.02916760553333174,3.4207808390739913
100,1.0714285714285714,22,1.8030825482335056,3.4427825478856438,0.6649794336502259,0.8370829413440326,-0.03872402172879441,3.261913601585105
100,1.0714285714285714,21,1.591435496091491,3.530071012955743,0.6658828543436184,0.830247185032684,0.009281025694632447,3.5882880838302893
100,1.0714285714285714,24,1.9209625389579918,3.4543749730424795,0.6659595117256849,0.8158326554196238,0.025670091779570966,3.392654981109819
100,1.0714285714285714,23,1.8168567582283521,3.4780212979745935,0.6659647477930307,0.8147924316331141,-0.01617113974455201,3.6697242517204347
100,1.0714285714285714,26,1.861455724185533,3.43939734694372,0.6658881216339376,0.8332192529941399,-0.010600125916679422,3.6094849414623162
100,1.0714285714285714,27,1.6181782969821543,3.5421719726823597,0.664890251492618,0.8347052869748679,0.02442592663259024,3.574333916067332
100,1.0714285714285714,28,1.7330481734744,3.523286911817752,0.6660288721995731,0.8335164597902859,0.0017159676860439123,3.341965696783224
100,1.0714285714285714,25,1.8412586936329756,3.4559342239941864,0.66559806974854,0.8144952248369681,0.032605752457042114,3.636317208892303
100,1.0714285714285714,29,1.8272916728282738,3.426462205788862,0.6650077106214667,0.8078080719236929,-0.005439753640664869,3.5275926068430534
100,1.0714285714285714,33,1.5781701630693095,3.4521614475575713,0.6659228105049548,0.8155354486234784,0.023057463914669396,3.565469192053509
100,1.0714285714285714,32,1.8194758382915466,3.30871293612451,0.6656144068576708,0.8443645078495997,-0.00920018349707918,3.273653635810918
100,1.0714285714285714,31,1.728842031120896,3.521903291934654,0.6659473360166599,0.8131577942543133,-0.0010839711774334054,3.4717474504514065
100,1.0714285714285714,34,1.6371779742202541,3.414949466906526,0.6650726658073669,0.8140494146427503,0.015549900341046866,3.2958340970372433
100,1.0714285714285714,30,1.7872282686746601,3.4172229298754515,0.6653746082477552,0.8292069612461749,-0.024024246925466494,3.506819311165902
100,1.0714285714285714,35,1.588636594331598,3.4653339111487615,0.6659969056561788,0.8393119923151247,0.006765461884307875,3.3954430968641667
100,1.0714285714285714,36,1.7746550339546645,3.46403324110466,0.6657012011044479,0.8418382500823618,0.014180902166723401,3.4531725410451575
100,1.0714285714285714,37,1.8831068864487666,3.5489147458676786,0.6654707346796707,0.8287611510519562,0.01949740015791673,3.3989603743331407
100,1.0714285714285714,38,1.6799043901644366,3.495421842872056,0.6656758835073857,0.8225198083328997,-0.013617173064239629,3.231611306143892
100,1.0714285714285714,39,1.7995770752053577,3.3744925122622065,0.6651587423975762,0.8088482957102024,-0.03186274415355344,3.382300285669325
100,2.142857142857143,0,2.1594802024773876,3.3695513833904465,0.6658768361989542,0.8165756724099873,-0.0172799872122456,3.3766706064923557
100,2.142857142857143,4,2.226285939081387,3.4196552919064196,0.6655257859658578,0.850754453966729,0.027297120274809367,3.2268679350005463
100,2.142857142857143,1,2.013492423884859,3.302844661853835,0.6657854381112078,0.8231142219251899,0.03714338272133768,3.1813918260548326
100,2.142857142857143,3,1.8461941820628995,3.402556548619499,0.6655440869784143,0.8182103097887883,-0.018804164640479862,3.3975034275300233
100,2.142857142857143,2,1.9492988629252062,3.318622007233501,0.665887196688512,0.8247488593039912,0.0053613154948967704,3.2836078274376823
100,2.142857142857143,5,1.9265366886751132,3.3026972106520263,0.6653422486316609,0.8042415903699461,-0.000500461474550443,3.22028609787522
100,2.142857142857143,6,2.4283643999838973,3.348808529085081,0.6645665113651429,0.8191019301772253,-0.007459323514686512,3.343688201493973
100,2.142857142857143,8,2.0122545694675305,3.431277110952035,0.6659267774446532,0.8311388054211212,0.031001821331603157,3.3934750476602944
100,2.142857142857143,9,1.912910614888812,3.3075467001594197,0.6657130882832929,0.8308415986249758,-0.005602560320570864,3.2875308662269127
