topo,norm,shuffle,seed,deg_min,deg_max,k_mean,k_harm,rho_main,p_intrarun_main,censored_main,tmort_med_main,rho_ctrl,p_intrarun_ctrl,censored_ctrl,tmort_med_ctrl,rho_diag,p_intrarun_diag,censored_diag,tmort_med_diag,tmort_hubs,tmort_peri,delta_hub_peri,ncomp50,ncomp50_null,big50,big50_null,pct_ncomp50,ncomp75,ncomp75_null,big75,big75_null,pct_ncomp75,group
BA m=3,uniform,1,42,3,55,5.94,4.259318661641715,-0.584040031530225,1.1103729921556303e-19,0,1067.5,-0.5882445528619505,5.243304193009666e-20,0,1114.0,-0.11468881281097526,0.10585264058831466,0,79.0,620.0,1192.0,-572.0,40,8.0,0.14,0.92,1.0,41,18.0,0.06,0.56,1.0,primary
BA m=3,uniform,1,123,3,43,5.94,4.2066940281657015,-0.6355974070817522,4.980340684306621e-24,0,1086.0,-0.6535000839966011,9.717961871134777e-26,0,1152.5,-0.13962058755148016,0.04862950450374459,0,84.5,699.5,1251.0,-551.5,47,8.0,0.27,0.92,1.0,45,17.5,0.06,0.58,1.0,primary
BA m=3,uniform,1,777,3,48,5.94,4.1194209933006425,-0.5051075520132009,2.395010059032582e-14,0,1103.0,-0.557733576839706,9.582657371233143e-18,0,1157.5,-0.214899748549111,0.0022440417332329535,0,84.5,667.0,1172.0,-505.0,43,8.0,0.25,0.92,1.0,35,18.0,0.14,0.6,0.995,primary
BA m=3,uniform,1,17,3,45,5.94,4.237328705569046,-0.4617836266047929,5.876314843320344e-12,0,1316.5,-0.5177206892984714,4.147435762988478e-15,0,1380.5,-0.28528717051551183,4.2271281322138486e-05,0,101.0,903.0,1426.5,-523.5,23,8.0,0.77,0.93,1.0,30,17.0,0.2,0.58,0.99,primary
BA m=3,uniform,1,256,3,48,5.94,4.234421951387779,-0.6139788618194368,4.1473562835669774e-22,0,1251.0,-0.6611716666141595,1.6558514182572647e-26,0,1319.5,-0.21624173767765031,0.002102049663998692,0,94.0,676.5,1396.5,-720.0,39,8.0,0.26,0.92,1.0,41,17.5,0.06,0.5700000000000001,1.0,primary
BA m=3,uniform,1,8,3,45,5.94,4.216128913856945,-0.5508432420146611,2.8893382106676764e-17,0,1252.0,-0.5820948428612781,1.565453224271169e-19,0,1330.0,-0.08533724023417344,0.22956536057283403,0,85.5,796.5,1343.0,-546.5,37,8.0,0.4,0.93,1.0,35,18.0,0.2,0.56,0.995,primary
BA m=3,uniform,1,99,3,41,5.94,4.241143438733092,-0.5439841027953173,8.454890850283876e-17,0,1156.0,-0.5657917047280311,2.5508458113181735e-18,0,1239.0,-0.17463305078399452,0.013389452760608796,0,83.0,674.0,1288.5,-614.5,42,8.0,0.33,0.93,1.0,30,17.0,0.3,0.62,0.975,primary
BA m=3,uniform,1,314,3,45,5.94,4.219609343935383,-0.5081029030286047,1.5896210742114088e-14,0,1144.5,-0.5485965978604634,4.118216873962634e-17,0,1234.5,-0.041052510842836676,0.5638215625114424,0,80.0,740.0,1271.5,-531.5,29,7.0,0.54,0.93,1.0,35,18.0,0.08,0.56,1.0,primary
BA m=3,uniform,1,2718,3,52,5.94,4.145156412330013,-0.5024138800143055,3.450745355104067e-14,0,964.5,-0.5677792357794351,1.8301684213792927e-18,0,1036.5,-0.11336014119301854,0.10998468141858703,0,79.0,643.0,1089.5,-446.5,37,8.0,0.4,0.92,1.0,34,18.0,0.1,0.5700000000000001,0.975,primary
BA m=3,uniform,1,1618,3,52,5.94,4.124826630869104,-0.5177639963175398,4.122023278903014e-15,0,1167.0,-0.5687170322823798,1.5635705415337917e-18,0,1223.0,-0.17544408638260495,0.012958547584694195,0,101.0,661.0,1247.0,-586.0,32,9.0,0.61,0.92,1.0,35,18.0,0.14,0.56,0.995,primary
BA m=3,uniform,1,5001,3,40,5.94,4.228662177199466,-0.5855352037737117,8.513898820700683e-20,0,1251.0,-0.644901928684897,6.651367626360079e-25,0,1360.5,-0.16486248716137425,0.019654466144379514,0,82.0,923.5,1391.0,-467.5,48,8.0,0.23,0.92,1.0,41,18.0,0.16,0.58,1.0,replication
BA m=3,uniform,1,5002,3,34,5.94,4.288744513800599,-0.6474282734483539,3.8041186137751724e-25,0,1295.5,-0.6627268849467639,1.1493597884922345e-26,0,1358.5,-0.23565720373418156,0.0007815613230385207,0,85.0,928.0,1444.0,-516.0,45,8.0,0.11,0.93,1.0,37,17.0,0.08,0.58,1.0,replication
BA m=3,uniform,1,5003,3,43,5.94,4.244340089015031,-0.5341037878460638,3.805398126743203e-16,0,1139.5,-0.597457772683668,9.744642646931245e-21,0,1221.0,-0.1667266076198053,0.01829311739022801,0,86.0,822.0,1253.5,-431.5,21,8.0,0.77,0.93,0.995,37,18.0,0.06,0.59,0.995,replication
BA m=3,uniform,1,5004,3,37,5.94,4.232528913593622,-0.5421736242895839,1.117957840442804e-16,0,1151.0,-0.5968896388917835,1.0827125009078093e-20,0,1231.0,-0.09420187606520623,0.1845689808890891,0,84.5,818.5,1272.5,-454.0,42,7.0,0.47,0.93,1.0,31,18.0,0.16,0.58,0.98,replication
BA m=3,uniform,1,5005,3,43,5.94,4.220207897677206,-0.5361749409243212,2.7875326801983577e-16,0,1208.5,-0.5741147282512638,6.256350558620379e-19,0,1278.0,-0.15749886387495415,0.02592530250879771,0,92.0,698.5,1408.0,-709.5,43,8.0,0.1,0.92,1.0,37,18.0,0.12,0.58,1.0,replication
BA m=3,uniform,1,5006,3,44,5.94,4.259313286372086,-0.5480633880599131,4.47784164007541e-17,0,1257.5,-0.6209540136135999,1.0337182277005094e-22,0,1319.5,-0.2490016637650252,0.00037724709422186673,0,98.5,889.5,1372.5,-483.0,36,8.0,0.43,0.93,1.0,37,16.0,0.08,0.6,1.0,replication
BA m=3,uniform,1,5007,3,52,5.94,4.259700780247361,-0.5489406268030587,3.9013559861454064e-17,0,1147.0,-0.6021202740085151,4.072707194620281e-21,0,1238.5,-0.16121038584959801,0.022577699168762504,0,82.0,744.0,1226.0,-482.0,36,8.0,0.38,0.92,1.0,35,18.0,0.08,0.52,1.0,replication
BA m=3,uniform,1,5008,3,45,5.94,4.258464652075347,-0.5326311585006532,4.741921791037893e-16,0,1180.0,-0.5664277155490817,2.2942869821379577e-18,0,1237.5,-0.08152159214816476,0.25114439662940646,0,83.5,833.0,1282.5,-449.5,32,7.0,0.5,0.94,1.0,28,19.0,0.14,0.54,0.915,replication
BA m=3,uniform,1,5009,3,46,5.94,4.256674797784632,-0.6167216480782687,2.4116017083813196e-22,0,1306.5,-0.6772304635242724,3.42640451521484e-28,0,1378.0,-0.21477758460572854,0.002257391197246765,0,84.0,896.0,1477.5,-581.5,39,7.5,0.53,0.93,1.0,44,18.0,0.06,0.6,1.0,replication
BA m=3,uniform,1,5010,3,40,5.94,4.1669210880943215,-0.5312434279278134,5.828751996896921e-16,0,1183.0,-0.5604753600429683,6.132776661545094e-18,0,1256.5,-0.08652982253839908,0.2230975842501563,0,86.5,695.5,1329.0,-633.5,33,8.0,0.41,0.92,1.0,36,18.0,0.14,0.58,0.995,replication
BA m=5,uniform,0,42,5,59,9.85,7.226558977900548,-0.5936192413642194,1.9774232775465526e-20,0,816.5,-0.697855894201535,1.615903347416846e-30,0,919.0,-0.0936830448693006,0.18700946720010153,0,75.5,597.5,939.0,-341.5,16,2.0,0.84,0.99,1.0,31,8.0,0.18,0.84,1.0,primary
