k,seed_idx,m4r_acc,m4r_cost,leaky_acc,leaky_cost,leaky_params
100,10,0.0,217.0,1.0,1348.5,"(0.05, 0.0, 800)"
100,11,1.0,423.5,1.0,1348.5,"(0.05, 0.0, 800)"
100,12,1.0,200.0,1.0,1350.0,"(0.05, 0.0, 800)"
100,13,1.0,424.0,1.0,1346.0,"(0.05, 0.0, 800)"
100,14,1.0,414.5,1.0,1347.5,"(0.05, 0.0, 800)"
100,15,1.0,423.0,1.0,1350.5,"(0.05, 0.0, 800)"
100,16,1.0,189.0,1.0,1347.0,"(0.05, 0.0, 800)"
100,17,0.0,223.0,1.0,1348.0,"(0.05, 0.0, 800)"
100,18,1.0,198.0,1.0,1346.5,"(0.05, 0.0, 800)"
100,19,1.0,203.0,1.0,1347.5,"(0.05, 0.0, 800)"
