N,m,D,seed,lambda2,H_cont,synchrony,lz_full,u_mean
100,5,0.0,0,3.0353837918975795,4.658023004858627,0.06678149601807117,1.1096054630697807,0.04999999999999999
100,5,0.0,1,2.9219283752176537,4.716264499447463,0.09439392062389998,1.1033294140705172,0.04999999999999999
100,5,0.0,2,3.016142810479173,4.737304740840826,0.060796135890473814,1.1013569415278914,0.04999999999999999
100,5,0.0,3,3.028292229621784,4.805722189481393,0.06420910529278123,1.1117572512980995,0.04999999999999999
100,5,0.0,4,3.0319935765772277,4.8345233776207195,0.060634997435836675,1.1081709375842346,0.04999999999999999
100,5,0.15,0,3.0353837918975795,3.2325959764061705,-0.0027505560008554675,0.8655568148412784,0.9995135230610407
100,5,0.15,1,2.9219283752176537,3.2677452210359235,-0.0008084374205366337,0.8623291324988003,0.9994167161312545
100,5,0.15,2,3.016142810479173,3.363973576420588,-0.005180603528412456,0.8583841874135486,0.9994960404825387
100,5,0.15,3,3.028292229621784,3.2922730034949823,-0.004561752848703837,0.8560530834995365,0.9965098351321693
100,5,0.15,4,3.0319935765772277,3.2223822550068895,-0.006075739280563846,0.8537219795855243,0.9994770107162984
100,5,0.5,0,3.0353837918975795,3.4448709055467215,-0.00365599941273242,0.8738053363831674,0.9995885165385759
100,5,0.5,1,2.9219283752176537,3.595094398298075,0.0048888848872274855,0.8779295971541125,0.9994306866433307
100,5,0.5,2,3.016142810479173,3.6182557073608685,-0.0042186220431796265,0.8799020696967375,0.9995457525271043
100,5,0.5,3,3.028292229621784,3.5433800269493587,-0.0034584755100505278,0.8739846520688609,0.9995456136038591
100,5,0.5,4,3.0319935765772277,3.355260396385067,-0.00515757354205659,0.9014199519799273,0.9994738619092292
100,6,0.0,0,3.8675459549079716,4.658023004858627,0.06678149601807117,1.1096054630697807,0.04999999999999999
100,6,0.0,1,3.9849977717273934,4.716264499447463,0.09439392062389998,1.1033294140705172,0.04999999999999999
100,6,0.0,2,3.997571557897789,4.737304740840826,0.060796135890473814,1.1013569415278914,0.04999999999999999
100,6,0.0,3,3.959182285115077,4.805722189481393,0.06420910529278123,1.1117572512980995,0.04999999999999999
100,6,0.0,4,3.8950983012676805,4.8345233776207195,0.060634997435836675,1.1081709375842346,0.04999999999999999
100,6,0.15,0,3.8675459549079716,3.097285477673442,-0.0029693926607284675,0.8318454659309485,0.9995714367145133
100,6,0.15,1,3.9849977717273934,3.0032266795803855,-0.0038562422111480354,0.8716535481548486,0.9997146278701236
100,6,0.15,2,3.997571557897789,3.052829508743603,-0.006553977066874985,0.8734467050117811,0.9985874705856251
100,6,0.15,3,3.959182285115077,3.0497021239318736,-0.0006958753633877574,0.8598187128990946,0.9998366958229045
100,6,0.15,4,3.8950983012676805,2.950714021565031,0.00398705032613485,0.8662740775840514,0.9996968556214025
100,6,0.5,0,3.8675459549079716,4.232269629087543,0.00429989141971498,0.6521711488663204,0.9999487905621953
100,6,0.5,1,3.9849977717273934,4.312122584793432,-0.005883956333092862,0.6831927624912509,0.9999026856607875
100,6,0.5,2,3.997571557897789,4.249935165041248,-0.004461894116668627,0.6537849900375596,0.9999953271910603
100,6,0.5,3,3.959182285115077,4.206488278402904,-0.004692903209557748,0.6751235566350549,0.9998602148039999
100,6,0.5,4,3.8950983012676805,4.116545942244846,-0.006520681360753457,0.6421294704674991,0.9999574525221567
100,7,0.0,0,4.8108444225437195,4.658023004858627,0.06678149601807117,1.1096054630697807,0.04999999999999999
100,7,0.0,1,4.913429025641349,4.716264499447463,0.09439392062389998,1.1033294140705172,0.04999999999999999
100,7,0.0,2,4.855858833881438,4.737304740840826,0.060796135890473814,1.1013569415278914,0.04999999999999999
100,7,0.0,3,5.059870724493233,4.805722189481393,0.06420910529278123,1.1117572512980995,0.04999999999999999
100,7,0.0,4,5.074239081205341,4.8345233776207195,0.060634997435836675,1.1081709375842346,0.04999999999999999
100,7,0.15,0,4.8108444225437195,2.865518048499108,-0.003398408993904341,0.8322040973023351,0.9999312211388367
100,7,0.15,1,4.913429025641349,2.964506698069356,0.010250182341757523,0.8359697267018936,0.9998411123600949
100,7,0.15,2,4.855858833881438,2.8421108446275776,-0.005454666356718398,0.8368663051303596,0.9998600658820281
100,7,0.15,3,5.059870724493233,2.8857246393622646,-0.005088597173456622,0.8472666149005676,0.9994457880163924
100,7,0.15,4,5.074239081205341,2.774407691722938,-0.0030601412782014065,0.8621498168131068,0.9998937878062868
