condition,seed,input_scale,k_sub,n_nonlin,nrmse,eff_rank
STNO_DECOUPLE,3,0.6,50,0.0,0.8623920640536114,70.31189733527393
STNO_DECOUPLE,3,0.6,50,10.0,0.8598570200317402,66.30988336705305
STNO_DECOUPLE,3,0.6,100,0.0,0.9010904809438096,64.74485279585465
STNO_DECOUPLE,3,0.6,100,10.0,0.835600127251876,60.7491192483595
STNO_FULL,4,0.1,50,0.0,1.384392956002414,50.12969047319289
STNO_FULL,4,0.1,50,10.0,1.1763868724064783,75.78848121160311
STNO_FULL,4,0.1,100,0.0,1.3829846302772586,59.46578390886281
STNO_FULL,4,0.1,100,10.0,1.1365880991113715,82.40227173307096
STNO_FULL,4,0.3,50,0.0,1.0482197518691037,51.900867555632495
STNO_FULL,4,0.3,50,10.0,1.0337853358670521,77.75010597844435
STNO_FULL,4,0.3,100,0.0,1.0162165183240837,60.98583748740458
STNO_FULL,4,0.3,100,10.0,0.9467614924671218,83.58875243007687
STNO_FULL,4,0.6,50,0.0,1.042639217718736,51.55678885690546
STNO_FULL,4,0.6,50,10.0,0.9033995137352453,76.65546971605912
STNO_FULL,4,0.6,100,0.0,1.0536833793160953,59.15133618254984
STNO_FULL,4,0.6,100,10.0,0.879290449418133,78.71252400294082
STNO_FROZEN_U,4,0.1,50,0.0,1.3738680939582861,43.98059645615821
STNO_FROZEN_U,4,0.1,50,10.0,1.163160570290871,48.992365784338446
STNO_FROZEN_U,4,0.1,100,0.0,1.3757135817846047,53.52220247827154
STNO_FROZEN_U,4,0.1,100,10.0,1.1320211451993203,61.48076878435436
STNO_FROZEN_U,4,0.3,50,0.0,0.9932272964718959,46.0980806275992
STNO_FROZEN_U,4,0.3,50,10.0,1.557250374575633,50.25710108430784
STNO_FROZEN_U,4,0.3,100,0.0,1.0484221924998,53.13523667303379
STNO_FROZEN_U,4,0.3,100,10.0,1.2156929640967618,61.920415247486595
STNO_FROZEN_U,4,0.6,50,0.0,0.9152065725891358,45.79633751621433
STNO_FROZEN_U,4,0.6,50,10.0,0.9999843882135404,47.617475923008875
STNO_FROZEN_U,4,0.6,100,0.0,0.9635915477501243,53.97138394939064
