topo,condition,seed,valid_frac,coverage,sharpness,consec_dist
ER_p06,BICAMERAL_KICK,6,1.0000,8,0.9967,0.2955
ER_p06,WATCHDOG,6,1.0000,10,0.9933,0.3108
ER_p06,HASARD,6,0.1667,1,0.9992,0.3017
ER_p06,ATTRACTIF,6,0.3333,3,0.9975,0.3610
ER_p06,BICAMERAL,7,0.7500,2,0.9992,0.1867
ER_p06,BICAMERAL_KICK,7,1.0000,6,0.9967,0.2458
ER_p06,WATCHDOG,7,0.9167,7,0.9942,0.3184
ER_p06,HASARD,7,0.3333,1,1.0000,0.3212
ER_p06,ATTRACTIF,7,0.5833,2,0.9983,0.3486
ER_p06,BICAMERAL,8,1.0000,7,0.9975,0.2595
ER_p06,BICAMERAL_KICK,8,1.0000,5,0.9967,0.2827
ER_p06,WATCHDOG,8,1.0000,8,0.9933,0.3050
ER_p06,HASARD,8,0.0833,1,1.0000,0.2642
ER_p06,ATTRACTIF,8,0.5000,1,0.9983,0.3112
ER_p06,BICAMERAL,9,1.0000,3,0.9992,0.2076
ER_p06,BICAMERAL_KICK,9,1.0000,9,0.9958,0.3493
ER_p06,WATCHDOG,9,1.0000,11,0.9925,0.3714
ER_p06,HASARD,9,0.1667,1,1.0000,0.2992
ER_p06,ATTRACTIF,9,0.5000,2,0.9975,0.3525
ER_p06,BICAMERAL,10,1.0000,1,1.0000,0.1594
ER_p06,BICAMERAL_KICK,10,1.0000,7,0.9967,0.2569
ER_p06,WATCHDOG,10,1.0000,4,0.9983,0.2120
ER_p06,HASARD,10,0.2500,1,1.0000,0.2496
ER_p06,ATTRACTIF,10,0.4167,4,0.9983,0.3663
ER_p06,BICAMERAL,11,1.0000,4,0.9992,0.2264
ER_p06,BICAMERAL_KICK,11,1.0000,10,0.9933,0.3885
ER_p06,WATCHDOG,11,1.0000,10,0.9925,0.3258
ER_p06,HASARD,11,0.3333,1,1.0000,0.3419
ER_p06,ATTRACTIF,11,0.3333,4,0.9950,0.4436
ER_p06,BICAMERAL,12,1.0000,2,0.9983,0.1698
ER_p06,BICAMERAL_KICK,12,1.0000,2,0.9992,0.1911
