m,condition,s_sat,tau_mat,seed,h_cont,h_cog,sync
3,s1_tau100,1.0,100,17,3.676323548738883,0.16909608150016653,0.01417282929424094
3,s1_tau100,1.0,100,256,3.6221859939828724,0.13902988588431267,0.01709994969239093
3,s1_tau100,1.0,100,1337,3.5859916906560367,0.08140088209313388,0.009525658757749618
3,s1_tau100,1.0,100,99,3.6361285022801835,0.13635425777730145,0.012963313078303715
3,s1_tau100,1.0,100,314,3.68221732988236,0.16141193735276904,0.008662655057108032
3,s1_tau100,1.0,100,2024,3.6543163187932053,0.14677450726072722,0.010331146971326588
3,s1_tau100,1.0,100,888,3.71254435165363,0.19463238783028608,0.005257427551865815
3,s3_tau0,3.0,0,42,3.6803890352519177,0.1722673071392443,-0.004351126416750995
3,s3_tau0,3.0,0,123,3.731195289368455,0.2428838574497149,0.009510950986714641
3,s3_tau0,3.0,0,777,3.6540697357411167,0.16428359100446774,0.013387343670430119
3,s3_tau0,3.0,0,17,3.6737810748259654,0.17193061808814836,0.0025380761366978867
3,s3_tau0,3.0,0,256,3.6003270011626864,0.12626922912191757,0.006484584093006068
3,s3_tau0,3.0,0,1337,3.560224876535701,0.07793297456163714,0.0015171801994724179
3,s3_tau0,3.0,0,99,3.609292308128112,0.13836026628558662,0.0050908668533539885
3,s3_tau0,3.0,0,314,3.680640212619111,0.15948500995549375,0.013844951200316721
3,s3_tau0,3.0,0,2024,3.655235327401885,0.14821155859957177,0.009932096935948572
3,s3_tau0,3.0,0,888,3.686102766799997,0.21576563202976104,-0.0018510481098838675
3,s3_tau1,3.0,1,42,3.6803890352519177,0.1722673071392443,-0.004351126416750995
3,s3_tau1,3.0,1,123,3.731195289368455,0.2428838574497149,0.009510950986714641
3,s3_tau1,3.0,1,777,3.6540697357411167,0.16428359100446774,0.013387343670430119
3,s3_tau1,3.0,1,17,3.6737810748259654,0.17193061808814836,0.0025380761366978867
3,s3_tau1,3.0,1,256,3.6003270011626864,0.12626922912191757,0.006484584093006068
3,s3_tau1,3.0,1,1337,3.560224876535701,0.07793297456163714,0.0015171801994724179
3,s3_tau1,3.0,1,99,3.609292308128112,0.13836026628558662,0.0050908668533539885
3,s3_tau1,3.0,1,314,3.680640212619111,0.15948500995549375,0.013844951200316721
3,s3_tau1,3.0,1,2024,3.655235327401885,0.14821155859957177,0.009932096935948572
3,s3_tau1,3.0,1,888,3.686102766799997,0.21576563202976104,-0.0018510481098838675
3,s3_tau3,3.0,3,42,3.7059186098476675,0.1841033833015174,-0.008193369016438948
3,s3_tau3,3.0,3,123,3.7216356657362417,0.23342421567887858,0.017904707377376084
3,s3_tau3,3.0,3,777,3.6449711174584642,0.16760391735636856,0.018599542866555553
3,s3_tau3,3.0,3,17,3.635531059388646,0.16285909235288673,-0.003656353394925555
3,s3_tau3,3.0,3,256,3.5797555559651255,0.1276092749775075,0.020036769303289733
3,s3_tau3,3.0,3,1337,3.5766174819218834,0.08942412822033867,0.024104654963752442
3,s3_tau3,3.0,3,99,3.604004221153039,0.12367729795909187,0.011738733128023012
3,s3_tau3,3.0,3,314,3.7067261261987143,0.16610406850948412,0.009823004496846493
3,s3_tau3,3.0,3,2024,3.6505386450645383,0.14183606685737127,0.009461269890762345
3,s3_tau3,3.0,3,888,3.745175451469781,0.19818655103099617,0.014187848411600775
3,s3_tau10,3.0,10,42,3.693616891528699,0.17472859046162215,-0.0020915642321707125
3,s3_tau10,3.0,10,123,3.7451147444420783,0.2442282609680105,0.00597482461656811
3,s3_tau10,3.0,10,777,3.687294783807103,0.1958824003995299,0.0050450681980933505
3,s3_tau10,3.0,10,17,3.6606531703901815,0.1557146911827423,0.009935846229706138
3,s3_tau10,3.0,10,256,3.5889747578401208,0.1332121678799248,0.006990145620972313
3,s3_tau10,3.0,10,1337,3.6209610668349677,0.10188354990146009,0.03199293447947805
3,s3_tau10,3.0,10,99,3.629477399641972,0.14769790952498119,0.015279710271599458
3,s3_tau10,3.0,10,314,3.7008400109034603,0.17596087790095902,0.013201231656350005
3,s3_tau10,3.0,10,2024,3.624176462003653,0.14361817331881055,0.007912203226456258
3,s3_tau10,3.0,10,888,3.719002414861644,0.19816034353712222,0.00837434607248639
3,s3_tau30,3.0,30,42,3.652426269397324,0.17723349580668976,0.00038117432089766523
3,s3_tau30,3.0,30,123,3.7224772465394644,0.22807812398529279,0.01452666230345817
3,s3_tau30,3.0,30,777,3.696602731796188,0.17337778438948026,0.01891399568276904
3,s3_tau30,3.0,30,17,3.6680538484394165,0.18188316969685844,0.009684138639944375
3,s3_tau30,3.0,30,256,3.6036838108051477,0.14578663237734915,0.009485752397934493
3,s3_tau30,3.0,30,1337,3.5411916828859287,0.06401848901114282,0.013300510215941001
3,s3_tau30,3.0,30,99,3.658798732908743,0.14596969275266508,0.0023652675508961728
3,s3_tau30,3.0,30,314,3.675753877062348,0.1478338819409268,0.014895880018096042
3,s3_tau30,3.0,30,2024,3.633650294266966,0.1638001694296425,0.005423292359075705
3,s3_tau30,3.0,30,888,3.730314570385079,0.19896930327872867,0.003131317094433273
3,s3_tau100,3.0,100,42,3.714725031929552,0.17808286753861205,-0.004089824388171959
3,s3_tau100,3.0,100,123,3.720402474698353,0.25927597837916316,0.007643071134936117
3,s3_tau100,3.0,100,777,3.656526488635407,0.17273604049802102,0.018474131642894725
3,s3_tau100,3.0,100,17,3.6756808539582955,0.18332322903559634,0.010093115170217598
3,s3_tau100,3.0,100,256,3.581154351697859,0.12867682332296332,0.033746283210162986
3,s3_tau100,3.0,100,1337,3.5461433562279794,0.0734939994902733,0.0022880321453594135
3,s3_tau100,3.0,100,99,3.6083098593614085,0.1443638292801248,0.010719024076088952
3,s3_tau100,3.0,100,314,3.687438465390835,0.15303368228744763,0.01769394498125155
3,s3_tau100,3.0,100,2024,3.676625411916292,0.18084256343806623,0.010116847279223141
3,s3_tau100,3.0,100,888,3.7028523117222427,0.19280039325983073,0.006651680358131231
5,DETERMINISTIC,,,42,3.1627924922518598,0.0,-0.006255823827675473
5,DETERMINISTIC,,,123,3.247145770125801,0.0,-0.0027166247859445594
5,DETERMINISTIC,,,777,3.2242036794527427,0.0,0.007310485022135255
5,DETERMINISTIC,,,17,3.1234030003004123,0.0,0.006398185901174415
5,DETERMINISTIC,,,256,3.147448073727002,0.0,-0.0013937599537382577
5,DETERMINISTIC,,,1337,3.096030836810262,0.0,-0.0005885471058277521
5,DETERMINISTIC,,,99,3.114787173922083,0.0,0.0019798620912900074
5,DETERMINISTIC,,,314,3.2859083224721446,0.0,0.015504457230158508
5,DETERMINISTIC,,,2024,3.246034645088362,0.0,0.00665274001806482
5,DETERMINISTIC,,,888,3.196842120051262,0.0,-0.0023441857929516106
5,s0_tau0,0.0,0,42,3.2844849303000987,0.0,-0.00012781762227557757
5,s0_tau0,0.0,0,123,3.286664589311232,0.0,0.0018513327592740443
5,s0_tau0,0.0,0,777,3.2711549926806067,0.0,0.0039048706127137256
5,s0_tau0,0.0,0,17,3.2000919534729633,0.0,0.005018835584166151
5,s0_tau0,0.0,0,256,3.2286664179096936,0.0,-0.0006106721942291504
5,s0_tau0,0.0,0,1337,3.123880248948322,0.0,-0.005111883153497246
5,s0_tau0,0.0,0,99,3.190222641473943,0.0,-0.002835205955101998
5,s0_tau0,0.0,0,314,3.3869927439724856,0.0,0.004451301660026547
5,s0_tau0,0.0,0,2024,3.2917158632975596,0.0,-0.0013244421881290944
5,s0_tau0,0.0,0,888,3.2075507109019328,0.0,-0.0029204918024386957
5,s0_tau1,0.0,1,42,3.2844849303000987,0.0,-0.00012781762227557025
5,s0_tau1,0.0,1,123,3.286664589311232,0.0,0.001851332759274033
5,s0_tau1,0.0,1,777,3.2711549926806067,0.0,0.003904870612713723
5,s0_tau1,0.0,1,17,3.2000919534729633,0.0,0.005018835584166153
5,s0_tau1,0.0,1,256,3.2286664179096936,0.0,-0.000610672194229147
5,s0_tau1,0.0,1,1337,3.123880248948322,0.0,-0.005111883153497247
5,s0_tau1,0.0,1,99,3.190222641473943,0.0,-0.0028352059551019974
5,s0_tau1,0.0,1,314,3.3869927439724856,0.0,0.004451301660026554
5,s0_tau1,0.0,1,2024,3.2917158632975596,0.0,-0.0013244421881291007
5,s0_tau1,0.0,1,888,3.2075507109019328,0.0,-0.0029204918024386987
5,s0_tau3,0.0,3,42,3.2734098647608967,0.0,-0.0013110997788899272
5,s0_tau3,0.0,3,123,3.356215637690018,0.0,0.003334809728916987
5,s0_tau3,0.0,3,777,3.2404237501993265,0.0,0.0043772950769993095
5,s0_tau3,0.0,3,17,3.1963058739772796,0.0,0.0024588700982021493
5,s0_tau3,0.0,3,256,3.201622304057009,0.0,0.002969506305820196
5,s0_tau3,0.0,3,1337,3.165842238429669,0.0,9.11438436218468e-05
5,s0_tau3,0.0,3,99,3.2111579994056996,0.0,0.004214877443722459
5,s0_tau3,0.0,3,314,3.2974176325154176,0.0,0.0007946616079939596
5,s0_tau3,0.0,3,2024,3.3377598187916075,0.0,0.0005339491048293188
5,s0_tau3,0.0,3,888,3.2804775127546195,0.0,0.003187604026518045
5,s0_tau10,0.0,10,42,3.2701337088953566,0.0,-0.0032815712566868103
5,s0_tau10,0.0,10,123,3.2648589649898745,0.0,0.0027407706189808666
5,s0_tau10,0.0,10,777,3.248943655819837,0.0,0.02093764944175887
5,s0_tau10,0.0,10,17,3.1522774151183413,0.0,-0.0009428587566188797
5,s0_tau10,0.0,10,256,3.1744489549666532,0.0002693104529863706,0.003912882088633008
5,s0_tau10,0.0,10,1337,3.1251880670607686,0.0,-0.0071843010023699885
5,s0_tau10,0.0,10,99,3.1834384482655693,0.0,0.008786393816479244
5,s0_tau10,0.0,10,314,3.3845860768500198,0.0,-0.0013298879628666155
5,s0_tau10,0.0,10,2024,3.2455795405854735,0.0,-0.0007459225106822689
5,s0_tau10,0.0,10,888,3.2330447011766417,0.0,-0.00042489909628156666
5,s0_tau30,0.0,30,42,3.2062484727775034,0.0,-0.00022667932238839094
5,s0_tau30,0.0,30,123,3.2540031451680815,0.0,-0.0022379864754277445
5,s0_tau30,0.0,30,777,3.1593077937590626,0.0,0.0019432320408916206
5,s0_tau30,0.0,30,17,3.1436632108580502,0.0,-0.006221580209449749
5,s0_tau30,0.0,30,256,3.216373510748941,0.0,-0.0008250117010986194
5,s0_tau30,0.0,30,1337,3.121113084392483,0.0,-0.006952182595387042
5,s0_tau30,0.0,30,99,3.1228164307038146,0.0,-0.0027616852842456325
5,s0_tau30,0.0,30,314,3.3269150857779795,0.0,0.0035702297934508786
5,s0_tau30,0.0,30,2024,3.254275827615339,0.0,-0.0060492211143480315
5,s0_tau30,0.0,30,888,3.234034932768461,0.0,0.0005775880828951428
5,s0_tau100,0.0,100,42,3.1924997119198024,0.0,-0.0028807352293643697
5,s0_tau100,0.0,100,123,3.1878361818275556,0.0,-0.00287360233662659
5,s0_tau100,0.0,100,777,3.3950914561717553,0.0,0.004361203180685101
5,s0_tau100,0.0,100,17,3.1403333983661974,0.0,0.0065845331186178534
5,s0_tau100,0.0,100,256,3.1403695150545716,0.0,0.0013953825842236336
5,s0_tau100,0.0,100,1337,3.0941007862431427,0.0,-0.004262196034292579
5,s0_tau100,0.0,100,99,3.0746666620163867,0.0,-0.0006436107524955959
5,s0_tau100,0.0,100,314,3.312596665818238,0.0,0.007192681980217539
5,s0_tau100,0.0,100,2024,3.244406458333574,0.0,-0.0026887305221264136
5,s0_tau100,0.0,100,888,3.190632360945404,0.0,-0.003080593667028118
5,s1_tau0,1.0,0,42,3.229951481429908,0.0,-0.005657919528623469
5,s1_tau0,1.0,0,123,3.2128806001035297,0.0,0.0037367245019321793
5,s1_tau0,1.0,0,777,3.242115220949812,0.0,0.0003208991883262951
5,s1_tau0,1.0,0,17,3.164073310986056,0.0,-0.005896897281475405
5,s1_tau0,1.0,0,256,3.2443158389315254,0.0,-0.002389556689154317
5,s1_tau0,1.0,0,1337,3.110016641679438,0.0,-0.0035672069494111815
5,s1_tau0,1.0,0,99,3.0967172327761885,0.0,0.00021787626418327875
5,s1_tau0,1.0,0,314,3.3112174078459233,0.0,0.004576463417415315
5,s1_tau0,1.0,0,2024,3.3046850242623145,0.0,0.007744598302178808
5,s1_tau0,1.0,0,888,3.2014942750385416,0.0002693104529863706,-0.002394289499637089
5,s1_tau1,1.0,1,42,3.229951481429908,0.0,-0.005657919528623464
5,s1_tau1,1.0,1,123,3.2128806001035297,0.0,0.003736724501932189
5,s1_tau1,1.0,1,777,3.242115220949812,0.0,0.0003208991883262118
5,s1_tau1,1.0,1,17,3.164073310986056,0.0,-0.005896897281475405
5,s1_tau1,1.0,1,256,3.2443158389315254,0.0,-0.0023895566891543097
5,s1_tau1,1.0,1,1337,3.110016641679438,0.0,-0.0035672069494111724
5,s1_tau1,1.0,1,99,3.0967172327761885,0.0,0.00021787626418328043
5,s1_tau1,1.0,1,314,3.3112174078459233,0.0,0.0045764634174153135
5,s1_tau1,1.0,1,2024,3.3046850242623145,0.0,0.0077445983021788055
5,s1_tau1,1.0,1,888,3.2014942750385416,0.0002693104529863706,-0.002394289499637092
5,s1_tau3,1.0,3,42,3.2269895864535725,0.0,-0.002923139541434732
5,s1_tau3,1.0,3,123,3.3006285132708086,0.0,0.001604421872647999
5,s1_tau3,1.0,3,777,3.2968025571589656,0.0,0.03091554798500887
5,s1_tau3,1.0,3,17,3.146656384673246,0.0,-0.0015148258622855076
5,s1_tau3,1.0,3,256,3.1655870454260535,0.0,0.001524142304470633
5,s1_tau3,1.0,3,1337,3.0962791601424144,0.0,0.0014504186454879324
5,s1_tau3,1.0,3,99,3.1492752728435387,0.0,-0.005554117375625234
