m,nu,ablation,elapsed_hours,seed,h_cont,h_cog,sync
3,0.05,FROZEN_U,1000000,17,4.716801423716394,1.335351290589474,0.33360716740922053
3,0.05,FROZEN_U,1000000,256,4.730331753715591,1.3319285864073087,0.3776892076407906
3,0.05,FROZEN_U,1000000,1337,4.740565677992509,1.3989798507992135,0.2626313904823092
3,0.05,FROZEN_U,1000000,99,4.777277398345893,1.3540074866238936,0.3937949769021384
3,0.05,FROZEN_U,1000000,314,4.727626936772052,1.3481349808848941,0.3259910262755119
3,0.05,FROZEN_U,1000000,2024,4.713626910608168,1.3594067772210026,0.3007866374848851
3,0.05,FROZEN_U,1000000,888,4.552519938849538,1.2000857659839483,0.47184948692470957
3,0.1,FULL,1,42,3.7491904849486857,0.23707386608661352,0.09753982749603654
3,0.1,FULL,1,123,3.818761052861276,0.29257449539056535,0.09137151790741865
3,0.1,FULL,1,777,3.7755909341918823,0.24623402727469917,0.11413515609455659
3,0.1,FULL,1,17,3.7330532423740532,0.20698471896436804,0.09481060597360391
3,0.1,FULL,1,256,3.65163929050272,0.18373386955151985,0.12782340029097589
3,0.1,FULL,1,1337,3.559609173344029,0.10451867008552258,0.06582069138722037
3,0.1,FULL,1,99,3.6692581996642812,0.16967863429306243,0.08650479199140669
3,0.1,FULL,1,314,3.7682547525870813,0.211284187739326,0.0907379414688697
3,0.1,FULL,1,2024,3.7003962564078816,0.2053467193097064,0.08153591248195645
3,0.1,FULL,1,888,3.7044095440970106,0.22797697311723392,0.08279600493108256
3,0.1,FULL,10,42,3.803834652776198,0.3808296948524775,0.09685814052966836
3,0.1,FULL,10,123,3.8767359639491694,0.4078714319386891,0.15279588145826334
3,0.1,FULL,10,777,3.8324019496852686,0.3642214573308223,0.15224283191482899
3,0.1,FULL,10,17,3.8110765182626953,0.34663123118206035,0.11520097024022485
3,0.1,FULL,10,256,3.729099063783577,0.3046919457695434,0.15828950813961873
3,0.1,FULL,10,1337,3.6403969390749125,0.21696876838325682,0.0810352127735202
3,0.1,FULL,10,99,3.766079503366369,0.3277686178018596,0.10709743963792635
3,0.1,FULL,10,314,3.744296292021809,0.3287985687642279,0.11736139603647316
3,0.1,FULL,10,2024,3.7388616255660962,0.32396748663898456,0.09065465772304784
3,0.1,FULL,10,888,3.869046855667401,0.37231141363712916,0.11953232606203955
3,0.1,FULL,100,42,3.811750334605242,0.5311198842322178,0.04938079243225282
3,0.1,FULL,100,123,3.922085860700194,0.5054691676911002,0.1506150842807196
3,0.1,FULL,100,777,3.9254782686650347,0.5027118623253549,0.11304892697894516
3,0.1,FULL,100,17,3.8671476518430548,0.5021248713955481,0.10369983023355682
3,0.1,FULL,100,256,3.8014198560607566,0.4908458363461749,0.12093711805007352
3,0.1,FULL,100,1337,3.702079731249278,0.4312948001526556,0.11560827009890175
3,0.1,FULL,100,99,3.8558182562356365,0.4798944544573521,0.15588212068395127
3,0.1,FULL,100,314,3.869461442826676,0.5199676512226347,0.09100129795897433
3,0.1,FULL,100,2024,3.855781675511451,0.5020973539116208,0.10973260395130807
3,0.1,FULL,100,888,4.047159873993405,0.5077390865393073,0.15555846757437553
3,0.1,FULL,1000,42,3.947579993203464,0.6091570998708434,0.1499584343298548
3,0.1,FULL,1000,123,4.036306858841419,0.613957161562959,0.22775106219995764
3,0.1,FULL,1000,777,3.9502787774292285,0.5895536391180304,0.19830382839770494
3,0.1,FULL,1000,17,4.011937267714162,0.6357875916031424,0.0950074326998307
3,0.1,FULL,1000,256,3.923718265773531,0.5719529515469981,0.17686960651940273
3,0.1,FULL,1000,1337,3.848603428815545,0.5736206118721778,0.15087503415228196
3,0.1,FULL,1000,99,3.9934662440196074,0.7052459620337224,0.1340236728587221
3,0.1,FULL,1000,314,3.957094399409466,0.6197005836563606,0.21502516817583153
3,0.1,FULL,1000,2024,3.8919649950566417,0.5823973264953661,0.1504809091608072
3,0.1,FULL,1000,888,3.965625365260809,0.5738651007954967,0.15504297949198487
3,0.1,FULL,10000,42,3.8974627333699616,0.6687923820688287,0.1754210766056263
3,0.1,FULL,10000,123,3.9573621046157883,0.6901313104108604,0.1884121866145354
3,0.1,FULL,10000,777,4.007492870234864,0.7214261559741882,0.15239136163306877
3,0.1,FULL,10000,17,3.9228899404253963,0.7247480957015818,0.19387604818259313
3,0.1,FULL,10000,256,3.906988802151973,0.642239547508987,0.2638730917812709
3,0.1,FULL,10000,1337,3.946407071363615,0.716545756189602,0.14110209687278305
3,0.1,FULL,10000,99,3.931768828859578,0.6663227880301084,0.17563002287417118
3,0.1,FULL,10000,314,4.014667050958789,0.7025827943543276,0.16598782266260897
