topology,ba_m,seed,target,target_deg,i_event,t_event,sync_pre,sync_event,sync_post,sync_surge,h_pre,h_post,delta_H,lz_pre,lz_post,delta_LZ
BA_m3_fonctionnel,3,2,peripheral,3,0.3,150,0.9713233582300568,0.9237551502742936,0.9696619599254727,-0.04756820795576322,4.444639065853649,3.279764674371097,-1.1648743914825523,1.1307843234996593,1.1939009573025188,0.06311663380285948
BA_m3_fonctionnel,3,2,peripheral,3,0.3,300,0.9800848489874736,0.7460017668022916,0.9725584807319613,-0.23408308218518203,4.3054518759001414,3.3721355956485364,-0.9333162802516051,1.1108527549303353,1.208517440920023,0.0976646859896877
BA_m3_fonctionnel,3,2,peripheral,3,0.8,50,0.9751065458414271,0.9747602395768425,0.9722846020073969,-0.0003463062645845394,4.284126645620814,3.4297816965194845,-0.8543449491013297,1.1407501077843214,1.1939009573025188,0.053150849518197374
BA_m3_fonctionnel,3,2,peripheral,3,0.8,150,0.9642705752068739,0.9212464131354555,0.9719711738897192,-0.04302416207141835,4.36261418861928,3.368213285052736,-0.994400903566544,1.1201541535960196,1.1746337743521713,0.05447962075615176
BA_m3_fonctionnel,3,2,peripheral,3,0.8,300,0.96433126458534,0.7925687459995331,0.9700393460988384,-0.17176251858580693,4.153762727713396,3.3053627746110927,-0.848399953102303,1.1560309770208024,1.1978872710163835,0.041856293995581106
BA_m3_fonctionnel,3,2,peripheral,3,1.5,50,0.9567249442121745,0.9210358213292428,0.9560305296568155,-0.03568912288293169,4.327265053115645,3.32742109069569,-0.9998439624199551,1.1606816763536454,1.2304421663462797,0.06976048999263429
BA_m3_fonctionnel,3,2,peripheral,3,1.5,150,0.9744502366267873,0.9322756574389544,0.9735874868799069,-0.04217457918783296,4.3661797611100095,3.3895731413901546,-0.9766066197198549,1.1387569509273887,1.1693186894003522,0.030561738472963507
BA_m3_fonctionnel,3,2,peripheral,3,1.5,300,0.9684592983226603,0.944422138172099,0.9713059762426373,-0.024037160150561343,4.262149467006335,3.1537608720059174,-1.1083885950004175,1.1148390686441993,1.185263944255811,0.0704248756116117
BA_m3_fonctionnel,3,2,peripheral,3,3.0,50,0.9756378392203701,0.9192022896387341,0.9633399372402809,-0.05643554958163599,4.30070525004215,3.439979879922768,-0.8607253701193822,1.1620104475916002,1.2404079506309411,0.0783975030393409
BA_m3_fonctionnel,3,2,peripheral,3,3.0,150,0.8776732709529866,0.9465585348107012,0.9727526251535457,0.06888526385771454,4.30721163350486,3.2206003736764983,-1.0866112598283615,1.151380277687961,1.1799488593039915,0.028568581616030597
BA_m3_fonctionnel,3,2,peripheral,3,3.0,300,0.9080799606923191,0.9301786763864746,0.9728152906692008,0.022098715694155446,4.4107466184022055,3.2209625479063373,-1.1897840704958682,1.1081952124544252,1.2091818265390004,0.10098661408457521
BA_m3_fonctionnel,3,2,hub,40,0.3,50,0.9632329278395617,0.9872813054531842,0.966897581763328,0.02404837761362244,4.0717599650595275,3.4173303201445617,-0.6544296449149658,1.1513802776879605,1.1845995586368339,0.033219280948873386
BA_m3_fonctionnel,3,2,hub,40,0.3,150,0.9448934499015094,0.9482970703155923,0.9775987837169746,0.0034036204140829307,4.356276589339116,3.3194486487583057,-1.0368279405808107,1.1101883693113574,1.197222885397406,0.08703451608604862
BA_m3_fonctionnel,3,2,hub,40,0.3,300,0.9716219015991021,0.7489417495235415,0.9594123571003137,-0.22268015207556058,4.532891682969822,3.1829179791881197,-1.3499737037817026,1.1234760816909066,1.225127081394459,0.1016509997035524
BA_m3_fonctionnel,3,2,hub,40,0.8,50,0.9461376642317506,0.9692094395743001,0.9603431509417893,0.02307177534254945,4.185274759272151,3.2065559306782303,-0.9787188285939203,1.1174966111201095,1.2138325258718428,0.09633591475173331
BA_m3_fonctionnel,3,2,hub,40,0.8,150,0.9573254195561602,0.8900943174931243,0.9688115675088534,-0.06723110206303595,4.425990928864615,3.11634099677622,-1.3096499320883952,1.1301199378806814,1.241072336249919,0.11095239836923754
BA_m3_fonctionnel,3,2,hub,40,0.8,300,0.956575303223413,0.785767856118455,0.968597687284739,-0.170807447104958,4.498052054626239,3.2284757215566273,-1.2695763330696117,1.1414144934032988,1.1865927154937659,0.04517822209046707
