base_topo,family,oracle,c_doubt,c_conv
BA_m3,CONTRADICTION,730,2000,81
BA_m3,TOPOLOGIE,1527,274,107
BA_m3,TOPOLOGIE,893,182,81
BA_m3,EVIDENCE,690,2000,81
BA_m3,EVIDENCE,1173,189,81
BA_m3,TOPOLOGIE,1551,2000,152
BA_m3,CONTRADICTION,1458,2000,110
BA_m3,CONTRADICTION,2000,2000,203
BA_m3,EVIDENCE,1061,162,82
BA_m3,CONTRADICTION,2000,943,103
BA_m3,TOPOLOGIE,1058,166,81
BA_m3,EVIDENCE,867,136,81
BA_m3,CONTRADICTION,1011,2000,148
BA_m3,EVIDENCE,2000,152,81
BA_m3,TOPOLOGIE,1397,2000,102
BA_m3,TOPOLOGIE,1764,2000,107
BA_m3,EVIDENCE,764,161,81
BA_m3,TOPOLOGIE,646,227,81
BA_m3,CONTRADICTION,1263,2000,137
BA_m3,CONTRADICTION,1080,2000,125
BA_m3,EVIDENCE,1080,2000,82
BA_m3,EVIDENCE,754,183,85
BA_m3,CONTRADICTION,1811,533,135
BA_m3,EVIDENCE,1315,157,81
BA_m3,TOPOLOGIE,1833,166,81
BA_m3,CONTRADICTION,1947,789,115
BA_m3,TOPOLOGIE,1,207,81
BA_m3,TOPOLOGIE,1794,160,95
ER_p06,EVIDENCE,2000,141,100
ER_p06,EVIDENCE,1079,151,81
ER_p06,CONTRADICTION,1737,295,81
ER_p06,EVIDENCE,910,135,81
ER_p06,TOPOLOGIE,987,161,81
ER_p06,EVIDENCE,702,145,81
ER_p06,CONTRADICTION,2000,657,116
ER_p06,TOPOLOGIE,1,2000,81
ER_p06,CONTRADICTION,2000,572,123
ER_p06,TOPOLOGIE,873,155,90
ER_p06,TOPOLOGIE,2000,271,97
ER_p06,CONTRADICTION,1237,134,81
ER_p06,EVIDENCE,2000,149,81
ER_p06,CONTRADICTION,780,658,112
ER_p06,TOPOLOGIE,1,171,88
ER_p06,EVIDENCE,1998,142,81
ER_p06,TOPOLOGIE,873,1466,140
ER_p06,CONTRADICTION,1108,179,106
ER_p06,TOPOLOGIE,1,179,81
ER_p06,EVIDENCE,2000,145,91
ER_p06,TOPOLOGIE,1,186,121
ER_p06,CONTRADICTION,1388,427,161
ER_p06,CONTRADICTION,2000,516,175
ER_p06,EVIDENCE,1047,164,81
ER_p06,EVIDENCE,1081,147,81
ER_p06,CONTRADICTION,2000,505,156
ER_p06,TOPOLOGIE,1717,2000,133
ER_p06,EVIDENCE,768,157,81
ER_p06,CONTRADICTION,802,333,140
ER_p06,TOPOLOGIE,2000,2000,81
ER_p06,CONTRADICTION,914,134,111
ER_p06,CONTRADICTION,2000,160,81
