N,m,seed,D,lambda2,H_cont,H_cont_std,sync,u_mean,u_std
100,5,42,0.15,2.9891365306319644,3.4908364326829453,0.25051357593553136,-0.007941238890475169,0.9999819240954996,0.00017985297892271013
100,5,17,0.15,1.83482240828564,3.463252458731544,0.18764620112888727,-0.0021644333473075047,1.0,0.0
100,5,256,0.15,3.075229235728294,3.2061720722831875,0.19900479794343123,-0.007386745637041398,1.0,0.0
100,6,123,0.15,3.8374735994814047,2.5526499083640255,0.3417439921274173,-0.007095860431978017,1.0,0.0
100,6,777,0.15,2.834148750414023,2.091177545628314,0.4532899538726277,-0.00876422173001941,1.0,0.0
100,6,42,0.15,3.9159484098469934,2.2167842186990336,0.4483636768820304,-0.008103342919649025,1.0,0.0
100,6,17,0.15,2.70669811162169,2.5599141234656138,0.3148182183395205,-0.008648968991488343,1.0,0.0
100,6,256,0.15,0.9879933842714383,2.6555356913964396,0.3045895196995056,-0.007694927395626404,1.0,0.0
100,7,42,0.15,4.578134877191264,1.0928522335012034,0.5860730236749618,-0.007428547581053127,1.0,0.0
100,7,123,0.15,4.853223764205818,1.014723145368166,0.8568776600803008,-0.006080014357358368,1.0,0.0
100,7,17,0.15,4.673426741487235,1.4022840514968156,0.6829739242290005,-0.007405938912458871,1.0,0.0
100,7,777,0.15,4.908522986970133,1.1170913673004181,0.7256160063123295,-0.008911654040435436,1.0,0.0
100,7,256,0.15,0.9861698331320822,1.945267509265369,0.48407611977181586,-0.00909800305507418,1.0,0.0
100,8,777,0.15,2.9236624944088945,0.7218592279055213,0.7592207716276123,-0.008578174403358112,1.0,0.0
100,8,17,0.15,5.690440740823568,0.5589599167964747,0.6991616671165322,-0.006088510632434014,1.0,0.0
100,8,42,0.15,5.659545229786224,0.7868977329755699,0.6755205285519622,-0.003898103972882267,1.0,0.0
100,8,123,0.15,5.763130291633553,0.657796016871475,0.6984272304571914,-0.00689905207838211,1.0,0.0
100,8,256,0.15,5.671860357850125,0.6029273334487184,0.6047323007699111,-0.009011157023497836,1.0,0.0
100,1,777,0.5,0.012707585699499287,3.4570661750720264,0.7032614705859467,0.8041146586713294,0.15902749202648744,0.20524598206080497
100,1,42,0.5,0.02508488701161831,3.830707266938192,0.5594839651653413,0.6491009333367527,0.22293124745461848,0.28894332113259047
100,1,17,0.5,0.023365912209160636,3.6525594657619047,0.6360764070331768,0.706034873876587,0.19730526134204568,0.262446237395195
100,1,123,0.5,0.02585665916344425,3.7313179102619953,0.6400597846857414,0.805628193373135,0.1875845958766361,0.2129773544192794
100,1,256,0.5,0.01623348402319481,3.8226879514830943,0.5812756501375617,0.6549550808403338,0.21016930236209064,0.25287326386798253
100,2,42,0.5,0.6126087063473932,4.182316660479382,0.6128377512324986,0.4415943980081978,0.37499339188494774,0.3260354376342157
100,2,777,0.5,0.6001108544839653,4.365088112670701,0.5532193468353813,0.37952961878217734,0.42800255300380124,0.329705777999851
100,2,123,0.5,0.5906747217679411,4.359005975407082,0.5507487125550679,0.39428255012799157,0.4218396501246495,0.3283492433516687
100,2,17,0.5,0.5519485368912753,4.484617123470229,0.5270092747596556,0.3408577995014425,0.4754700262787041,0.3304528826663042
100,2,256,0.5,0.6339350995084613,4.383867353092134,0.5388458190404728,0.3941209349730463,0.45052569720379326,0.33644217291302125
100,3,123,0.5,1.3168471700685211,2.835869196089408,1.4685658431425603,0.01797336314933259,1.0,0.0
