kind,seed,rule,param,stop_iter,success,network_node_steps
easy,9,FIXED,2000,2000,1,0
easy,9,M4R_U,(2; 0.3),2000,1,400000
easy,9,M4R_SIG,(2; 0.3),89,1,17800
easy,9,M4R_U,(2; 0.5),2000,1,400000
easy,9,M4R_SIG,(2; 0.5),78,1,15600
easy,9,M4R_U,(2; 0.7),2000,1,400000
easy,9,M4R_SIG,(2; 0.7),62,0,12400
easy,9,M4R_U,(5; 0.3),2000,1,1000000
easy,9,M4R_SIG,(5; 0.3),51,0,25500
easy,9,M4R_U,(5; 0.5),2000,1,1000000
easy,9,M4R_SIG,(5; 0.5),47,0,23500
easy,9,M4R_U,(5; 0.7),2000,1,1000000
easy,9,M4R_SIG,(5; 0.7),38,0,19000
easy,9,M4R_U,(10; 0.3),2000,1,2000000
easy,9,M4R_SIG,(10; 0.3),36,0,36000
easy,9,M4R_U,(10; 0.5),2000,1,2000000
easy,9,M4R_SIG,(10; 0.5),33,0,33000
easy,9,M4R_U,(10; 0.7),1335,1,1335000
easy,9,M4R_SIG,(10; 0.7),27,0,27000
easy,10,TOL,0.02,90,1,0
easy,10,TOL,0.01,104,1,0
easy,10,TOL,0.005,117,1,0
easy,10,TOL,0.002,135,1,0
easy,10,PATIENCE,50,2000,1,0
easy,10,PATIENCE,100,2000,1,0
easy,10,PATIENCE,200,2000,1,0
easy,10,PATIENCE,400,2000,1,0
easy,10,PATIENCE,800,2000,1,0
easy,10,PATIENCE,1600,2000,1,0
easy,10,FIXED,200,200,1,0
easy,10,FIXED,400,400,1,0
easy,10,FIXED,600,600,1,0
easy,10,FIXED,800,800,1,0
easy,10,FIXED,1000,1000,1,0
easy,10,FIXED,1200,1200,1,0
easy,10,FIXED,1400,1400,1,0
easy,10,FIXED,1600,1600,1,0
easy,10,FIXED,1800,1800,1,0
easy,10,FIXED,2000,2000,1,0
easy,10,M4R_U,(2; 0.3),2000,1,400000
easy,10,M4R_SIG,(2; 0.3),90,1,18000
easy,10,M4R_U,(2; 0.5),2000,1,400000
easy,10,M4R_SIG,(2; 0.5),77,1,15400
easy,10,M4R_U,(2; 0.7),2000,1,400000
easy,10,M4R_SIG,(2; 0.7),59,0,11800
easy,10,M4R_U,(5; 0.3),2000,1,1000000
easy,10,M4R_SIG,(5; 0.3),51,0,25500
easy,10,M4R_U,(5; 0.5),2000,1,1000000
easy,10,M4R_SIG,(5; 0.5),46,0,23000
easy,10,M4R_U,(5; 0.7),2000,1,1000000
easy,10,M4R_SIG,(5; 0.7),36,0,18000
easy,10,M4R_U,(10; 0.3),2000,1,2000000
easy,10,M4R_SIG,(10; 0.3),36,0,36000
easy,10,M4R_U,(10; 0.5),2000,1,2000000
easy,10,M4R_SIG,(10; 0.5),34,0,34000
easy,10,M4R_U,(10; 0.7),2000,1,2000000
easy,10,M4R_SIG,(10; 0.7),28,0,28000
easy,11,TOL,0.02,90,1,0
easy,11,TOL,0.01,104,1,0
easy,11,TOL,0.005,117,1,0
easy,11,TOL,0.002,135,1,0
easy,11,PATIENCE,50,2000,1,0
easy,11,PATIENCE,100,2000,1,0
easy,11,PATIENCE,200,2000,1,0
easy,11,PATIENCE,400,2000,1,0
easy,11,PATIENCE,800,2000,1,0
easy,11,PATIENCE,1600,2000,1,0
easy,11,FIXED,200,200,1,0
easy,11,FIXED,400,400,1,0
easy,11,FIXED,600,600,1,0
easy,11,FIXED,800,800,1,0
easy,11,FIXED,1000,1000,1,0
easy,11,FIXED,1200,1200,1,0
easy,11,FIXED,1400,1400,1,0
easy,11,FIXED,1600,1600,1,0
easy,11,FIXED,1800,1800,1,0
easy,11,FIXED,2000,2000,1,0
easy,11,M4R_U,(2; 0.3),2000,1,400000
easy,11,M4R_SIG,(2; 0.3),91,1,18200
easy,11,M4R_U,(2; 0.5),2000,1,400000
easy,11,M4R_SIG,(2; 0.5),78,1,15600
easy,11,M4R_U,(2; 0.7),2000,1,400000
easy,11,M4R_SIG,(2; 0.7),62,0,12400
easy,11,M4R_U,(5; 0.3),2000,1,1000000
easy,11,M4R_SIG,(5; 0.3),52,0,26000
easy,11,M4R_U,(5; 0.5),2000,1,1000000
easy,11,M4R_SIG,(5; 0.5),47,0,23500
easy,11,M4R_U,(5; 0.7),2000,1,1000000
easy,11,M4R_SIG,(5; 0.7),39,0,19500
easy,11,M4R_U,(10; 0.3),2000,1,2000000
easy,11,M4R_SIG,(10; 0.3),36,0,36000
easy,11,M4R_U,(10; 0.5),2000,1,2000000
easy,11,M4R_SIG,(10; 0.5),33,0,33000
easy,11,M4R_U,(10; 0.7),1353,1,1353000
easy,11,M4R_SIG,(10; 0.7),28,0,28000
trap,0,TOL,0.02,10,0,0
trap,0,TOL,0.01,12,0,0
trap,0,TOL,0.005,15,0,0
trap,0,TOL,0.002,22,0,0
trap,0,PATIENCE,50,79,0,0
trap,0,PATIENCE,100,129,0,0
trap,0,PATIENCE,200,799,0,0
trap,0,PATIENCE,400,800,0,0
trap,0,PATIENCE,800,815,0,0
trap,0,PATIENCE,1600,2000,1,0
trap,0,FIXED,200,200,0,0
trap,0,FIXED,400,400,0,0
trap,0,FIXED,600,600,0,0
trap,0,FIXED,800,800,0,0
trap,0,FIXED,1000,1000,1,0
trap,0,FIXED,1200,1200,1,0
trap,0,FIXED,1400,1400,1,0
trap,0,FIXED,1600,1600,1,0
trap,0,FIXED,1800,1800,1,0
trap,0,FIXED,2000,2000,1,0
trap,0,M4R_U,(2; 0.3),2000,1,400000
trap,0,M4R_SIG,(2; 0.3),79,0,15800
trap,0,M4R_U,(2; 0.5),2000,1,400000
trap,0,M4R_SIG,(2; 0.5),64,0,12800
trap,0,M4R_U,(2; 0.7),2000,1,400000
trap,0,M4R_SIG,(2; 0.7),47,0,9400
trap,0,M4R_U,(5; 0.3),2000,1,1000000
trap,0,M4R_SIG,(5; 0.3),28,0,14000
trap,0,M4R_U,(5; 0.5),2000,1,1000000
trap,0,M4R_SIG,(5; 0.5),22,0,11000
trap,0,M4R_U,(5; 0.7),2000,1,1000000
trap,0,M4R_SIG,(5; 0.7),20,0,10000
trap,0,M4R_U,(10; 0.3),2000,1,2000000
trap,0,M4R_SIG,(10; 0.3),20,0,20000
trap,0,M4R_U,(10; 0.5),2000,1,2000000
trap,0,M4R_SIG,(10; 0.5),20,0,20000
trap,0,M4R_U,(10; 0.7),1816,1,1816000
trap,0,M4R_SIG,(10; 0.7),20,0,20000
trap,1,TOL,0.02,9,0,0
trap,1,TOL,0.01,9,0,0
trap,1,TOL,0.005,9,0,0
trap,1,TOL,0.002,9,0,0
trap,1,PATIENCE,50,59,0,0
trap,1,PATIENCE,100,109,0,0
trap,1,PATIENCE,200,806,0,0
trap,1,PATIENCE,400,808,0,0
trap,1,PATIENCE,800,809,0,0
trap,1,PATIENCE,1600,2000,1,0
trap,1,FIXED,200,200,0,0
trap,1,FIXED,400,400,0,0
trap,1,FIXED,600,600,0,0
trap,1,FIXED,800,800,0,0
trap,1,FIXED,1000,1000,1,0
trap,1,FIXED,1200,1200,1,0
trap,1,FIXED,1400,1400,1,0
trap,1,FIXED,1600,1600,1,0
trap,1,FIXED,1800,1800,1,0
trap,1,FIXED,2000,2000,1,0
trap,1,M4R_U,(2; 0.3),2000,1,400000
trap,1,M4R_SIG,(2; 0.3),81,0,16200
trap,1,M4R_U,(2; 0.5),2000,1,400000
trap,1,M4R_SIG,(2; 0.5),64,0,12800
trap,1,M4R_U,(2; 0.7),2000,1,400000
trap,1,M4R_SIG,(2; 0.7),46,0,9200
trap,1,M4R_U,(5; 0.3),2000,1,1000000
trap,1,M4R_SIG,(5; 0.3),28,0,14000
trap,1,M4R_U,(5; 0.5),2000,1,1000000
trap,1,M4R_SIG,(5; 0.5),21,0,10500
trap,1,M4R_U,(5; 0.7),2000,1,1000000
trap,1,M4R_SIG,(5; 0.7),20,0,10000
trap,1,M4R_U,(10; 0.3),2000,1,2000000
trap,1,M4R_SIG,(10; 0.3),20,0,20000
