topo,lambda2,sigma,h_cog_mean,h_cog_std,h_cont_mean,h_cont_std,lz_mean,lz_std,sync_mean,sync_std
Lattice_10x10,0.38196601125010426,0.3,0.3715400314850797,0.0052423205667753115,3.926763685107712,0.031888648854514215,0.8069506335069819,0.02209392920457936,0.13884420294905633,0.059727819454918646
Lattice_10x10,0.38196601125010426,0.5,0.45474556127592586,0.00870270973924068,4.162115251577894,0.006796034721931218,0.9633136405659806,0.010819579723480657,0.08661955432379533,0.03486068470429681
Lattice_10x10,0.38196601125010426,0.8,0.5260675771452679,0.009356147433317757,4.388617685920734,0.01844209765893305,1.1204600948419758,0.034643863095675326,0.05221808497491235,0.027286238507101625
Lattice_10x10,0.38196601125010426,1.2,0.6465900059966693,0.017873015284422207,4.603401639323114,0.004136330725434254,1.2789775817477167,0.02661751590983835,0.019309161994536053,0.010150237308510028
ER_p05,0.5285431764866879,0.0,0.126246958711556,0.021793351965300866,3.360650035441958,0.0412887032259184,0.7425773871770557,0.06721405897378545,0.17230585031030343,0.036330065523299725
ER_p05,0.5285431764866879,0.01,0.13974842509293883,0.028530543962777384,3.402342708876571,0.04173995085311462,0.6772901190939665,0.015994447977905352,0.18647037512533945,0.06802260115552532
ER_p05,0.5285431764866879,0.03,0.11863775463579196,0.019340316461758465,3.3214547095959035,0.035304329945779624,0.7583769060531633,0.11724462762015907,0.1989578224339398,0.04736892200078678
ER_p05,0.5285431764866879,0.07,0.1144772831549667,0.01453036639401244,3.4095750135647367,0.04863956787618677,0.7790076827674195,0.08259972185050779,0.15024095763711703,0.03377300944689763
ER_p05,0.5285431764866879,0.15,0.10788967671043899,0.0049616578089714935,3.40750531992058,0.040038531131470684,0.6795098862087915,0.014066035469700826,0.17249666748218787,0.0771303471815858
ER_p05,0.5285431764866879,0.3,0.1319117045710324,0.022560400426968573,3.577601329181594,0.040688712005028174,0.7666683890997158,0.12281408021930923,0.09648979668549669,0.02723608281601187
ER_p05,0.5285431764866879,0.5,0.181261159292365,0.021388323693423705,3.819121980841429,0.02637421707717567,0.8348935842465438,0.06848357458886828,0.08171589895110219,0.00930367545809512
ER_p05,0.5285431764866879,0.8,0.3151687887209018,0.019599207409367398,4.1733008155564875,0.011223861061913205,1.1034201178722896,0.04986502890701957,0.025222556242603816,0.006132532525714221
ER_p05,0.5285431764866879,1.2,0.44989587897121086,0.012031873093186964,4.4538592403458654,0.009097598803194459,1.173016345648863,0.03619400370495858,0.01240918740188661,0.004656278510360546
ER_p10,2.567823605722206,0.0,0.0,0.0,2.4299123066914947,0.015532895811650266,0.7752863084866836,0.01254059489745215,0.07596030198508558,0.0268474400416226
ER_p10,2.567823605722206,0.01,0.0,0.0,2.4719636286892226,0.041233408953255654,0.7471474959428718,0.008918823893820498,0.09020037079493332,0.03080441233928274
ER_p10,2.567823605722206,0.03,0.0,0.0,2.4433369556511035,0.0476101793833473,0.7737847013207722,0.03674426377471488,0.1371529144788644,0.03208570710911725
ER_p10,2.567823605722206,0.07,0.0,0.0,2.4037921806535505,0.007490909254326897,0.7721525196186952,0.02185729591932638,0.04230849837334646,0.01940766092030353
ER_p10,2.567823605722206,0.15,0.0,0.0,2.4899697628526227,0.04093951217573021,0.8078646552601448,0.013822102580517935,0.040347507718285165,0.013255790349164054
ER_p10,2.567823605722206,0.3,0.0,0.0,2.674688534384638,0.020092840258196278,1.066728673209594,0.021636795587934066,0.0460236382327204,0.02290499828590056
ER_p10,2.567823605722206,0.5,0.0,0.0,3.0061630253339957,0.009314381100884199,1.395384780739865,0.07942211591877346,0.05037839176560135,0.010432269066718796
ER_p10,2.567823605722206,0.8,0.0,0.0,3.462466924723529,0.025198153944792183,1.533140916395183,0.07882252764074076,0.01947936934146984,0.007861919290032634
ER_p10,2.567823605722206,1.2,0.0014363224159273096,0.0007757027614113016,3.8922286133925152,0.004851200998003529,1.609657594588563,0.02763078747742081,0.00989036385147818,0.0030096018048032776
