n_pivots,m,D,f_fft_mean,f_fft_std,drive_pf_mean,drive_pf_std,lz_state_mean,ac50_mean,fdrive_wins,n_seeds
8,3,0.15,0.0026666666666666666,0.0009428090415820634,0.19437026493901657,0.08755819662101959,1.6489173310028462,0.29427324905987845,0,5
8,3,0.5,0.0026666666666666666,0.0009428090415820634,0.2464863055177934,0.10790121179707521,1.6990905874487257,0.18495199219533967,0,5
8,6,0.0,0.0018666666666666664,0.0007302967433402214,0.07038766953548588,0.02592949998505506,0.8345824570939293,0.5808931771096598,0,5
8,6,0.15,0.0021333333333333334,0.0007302967433402214,0.04931201234936479,0.05964814172814609,1.4013110370095239,0.6884354455845185,0,5
8,6,0.5,0.0024000000000000002,0.0005962847939999439,0.2515544513693842,0.1055773887669948,1.6884701570233798,0.19964139245899157,0,5
9,3,0.0,0.0016,0.0005962847939999439,0.08626631639679563,0.030115803686209502,0.8401346245584987,0.5592854363261874,0,5
9,3,0.15,0.0026666666666666666,0.0009428090415820634,0.2304266541876058,0.09963708503509536,1.6418625127107096,0.22960559651294074,0,5
9,3,0.5,0.0026666666666666666,0.0009428090415820634,0.28021008543250525,0.1141266642044387,1.6792250341351291,0.12481999457153119,0,5
9,6,0.0,0.0018666666666666664,0.0007302967433402214,0.08685869582288289,0.03189651301128949,0.8388102543375922,0.5480543799603825,0,5
9,6,0.15,0.0021333333333333334,0.0007302967433402214,0.11222921229740956,0.10511810166490057,1.4815118413486483,0.5179178005286873,0,5
9,6,0.5,0.0024000000000000002,0.0005962847939999439,0.28880018569770044,0.11234306128248571,1.6706166276992367,0.1308675948894574,0,5
10,3,0.0,0.0016,0.0005962847939999439,0.10372266130170131,0.03544613907271009,0.8434710187688592,0.5253703381721985,0,5
10,3,0.15,0.0026666666666666666,0.0009428090415820634,0.26491422765400785,0.11223851602336951,1.6327956704291193,0.16844078920022526,0,5
10,3,0.5,0.012,0.02162303298696914,0.3228522084970229,0.13104504469766726,1.669470538084991,0.050139113682066624,1,5
10,6,0.0,0.0018666666666666664,0.0007302967433402214,0.1039479408538356,0.03740566370245676,0.8438275799821803,0.5131928612470414,0,5
10,6,0.15,0.0021333333333333334,0.0007302967433402214,0.14541111355398806,0.14074224862362203,1.4745843663469842,0.4587273894950915,0,5
10,6,0.5,0.0024000000000000002,0.0005962847939999439,0.3432082034793665,0.12658978202617738,1.6673821081212536,0.02990121564513627,0,5
