i_stim,u_frozen,u_filter,group,seed,synchrony,lz_full,u_drift
0.10,0.050,0.898281,repli,3049,0.4212228043,1.5442749742,0.000e+00
0.10,0.050,0.898281,repli,3050,0.5292691014,1.5390633891,0.000e+00
0.10,0.150,0.810340,repli,3041,0.4286614862,1.5445492682,0.000e+00
0.10,0.150,0.810340,repli,3042,0.5078954104,1.5802074825,0.000e+00
0.10,0.150,0.810340,repli,3043,0.4857663658,1.5248001033,0.000e+00
0.10,0.150,0.810340,repli,3044,0.1787330660,1.4836560099,0.000e+00
0.10,0.150,0.810340,repli,3045,0.4833141107,1.5648470210,0.000e+00
0.10,0.150,0.810340,repli,3046,0.4979587235,1.5461950319,0.000e+00
0.10,0.150,0.810340,repli,3047,0.3154687858,1.5258972792,0.000e+00
0.10,0.150,0.810340,repli,3048,0.3932331216,1.5245258094,0.000e+00
0.10,0.150,0.810340,repli,3049,0.4152732569,1.5322060402,0.000e+00
0.10,0.150,0.810340,repli,3050,0.5419496872,1.5209599880,0.000e+00
0.10,0.250,0.665794,repli,3041,0.4282004567,1.5223314577,0.000e+00
0.10,0.250,0.665794,repli,3042,0.4599111245,1.5453721501,0.000e+00
0.10,0.250,0.665794,repli,3043,0.3318923310,1.4800901885,0.000e+00
0.10,0.250,0.665794,repli,3044,0.1816392381,1.4814616582,0.000e+00
0.10,0.250,0.665794,repli,3045,0.3716439779,1.5431777984,0.000e+00
0.10,0.250,0.665794,repli,3046,0.3878572849,1.5184913424,0.000e+00
0.10,0.250,0.665794,repli,3047,0.2579542997,1.5135540511,0.000e+00
0.10,0.250,0.665794,repli,3048,0.2693486867,1.5025822929,0.000e+00
0.10,0.250,0.665794,repli,3049,0.2975978766,1.5077938781,0.000e+00
0.10,0.250,0.665794,repli,3050,0.3632372154,1.5069709962,0.000e+00
0.10,0.325,0.510354,repli,3041,0.2741773988,1.4976450017,0.000e+00
0.10,0.325,0.510354,repli,3042,0.3866657046,1.5333032160,0.000e+00
0.10,0.325,0.510354,repli,3043,0.2099371399,1.4746043093,0.000e+00
0.10,0.325,0.510354,repli,3044,0.1993462685,1.4710384879,0.000e+00
0.10,0.325,0.510354,repli,3045,0.3415191642,1.5028565868,0.000e+00
0.10,0.325,0.510354,repli,3046,0.2242305107,1.4954506500,0.000e+00
0.10,0.325,0.510354,repli,3047,0.1968283357,1.4880447132,0.000e+00
0.10,0.325,0.510354,repli,3048,0.1315271605,1.4674726665,0.000e+00
0.10,0.325,0.510354,repli,3049,0.3289760484,1.4913362407,0.000e+00
0.10,0.325,0.510354,repli,3050,0.2385799101,1.4869475374,0.000e+00
0.10,0.400,0.314216,repli,3041,0.0812098044,1.4781701308,0.000e+00
0.10,0.400,0.314216,repli,3042,0.1432239232,1.4754271912,0.000e+00
0.10,0.400,0.314216,repli,3043,0.0730285115,1.4249571032,0.000e+00
0.10,0.400,0.314216,repli,3044,0.1012884568,1.4499178533,0.000e+00
0.10,0.400,0.314216,repli,3045,0.1768027560,1.4855760676,0.000e+00
0.10,0.400,0.314216,repli,3046,0.1339911619,1.4680212544,0.000e+00
0.10,0.400,0.314216,repli,3047,0.1079977940,1.4682955483,0.000e+00
0.10,0.400,0.314216,repli,3048,0.1424708833,1.4661011967,0.000e+00
0.10,0.400,0.314216,repli,3049,0.0639698661,1.4721356637,0.000e+00
0.10,0.400,0.314216,repli,3050,0.1121056648,1.4699413121,0.000e+00
0.10,0.450,0.165800,repli,3041,0.0031159001,1.4661011967,0.000e+00
0.10,0.450,0.165800,repli,3042,0.0139829951,1.4581466720,0.000e+00
