N,m,lambda2_bin,lambda2_mean,U4,H_mean,H_std,H_var,count
200,2,1.75,1.783279505617243,0.6636248867356247,3.5057816229070484,0.16297262913033392,0.02656007784565336,5
200,2,2.0,2.0200404812668356,0.6655882909664204,3.355627085703667,0.09561327773895655,0.009141898879986843,3
200,2,2.25,2.2817005268438812,0.6582646596080388,3.3574972650760033,0.2583432598635965,0.06674123991694976,5
200,2,2.5,2.504890043855618,0.6643521269406825,3.183396991606908,0.13045552653018025,0.01701864440226656,7
200,2,3.25,3.2894570368681,0.6665966213290828,3.000422953806974,0.021716886247575073,0.0004716231482901154,4
200,2,3.5,3.481613583572307,0.6652070632762529,2.921688417015397,0.09693397398972577,0.00939619531344083,5
200,5,3.0,3.01817326259798,0.6651490454472703,3.426485573379255,0.11466276781987425,0.01314755032411439,10
200,5,3.25,3.238071291146492,0.6663667629244435,3.2850658065440426,0.04931228706025601,0.0024317016551130923,15
200,5,3.5,3.480169517021442,0.6660862486799386,3.1771502228754906,0.06604181052928021,0.004361520737985346,13
200,5,3.75,3.724702787128929,0.6660015539594597,3.096712926996566,0.06988720745998236,0.004884221766554615,13
200,5,4.0,3.9595620541109384,0.6664683887987902,3.0352782953629744,0.03700861749021203,0.0013696377685368279,7
200,5,4.25,4.239780993112281,0.6664139061404866,2.942875232328885,0.040297229675794945,0.0016238667195437686,7
200,5,4.5,4.49928515915761,0.6660099883301,2.877984117814914,0.06311451395827763,0.0039834418721896225,5
200,5,4.75,4.695037358803999,0.6664056989954936,2.7294537032564206,0.03840834149402614,0.00147520069632173,4
200,5,5.0,4.977012018453028,0.6663273000877625,2.8702324046878434,0.04547280330961007,0.002067775840834485,4
200,5,5.25,5.27290481829806,0.6666660452010373,2.7783945662488314,0.0018966792235459201,3.597392077030754e-06,3
200,5,5.5,5.46341306001898,0.6652135387247299,2.7143312943736753,0.08873740115483549,0.007874326363714199,3
200,5,5.75,5.684817062003594,0.6654528823761461,2.7470535522908865,0.0845093282788746,0.0071418265661465944,5
200,5,7.0,7.050561357609621,0.6662089532949341,2.5621059566074527,0.04762269630444523,0.0022679212033054215,3
200,7,4.75,4.7862729228447245,0.665939363070229,2.914630656065991,0.06811098379103643,0.004639106112982827,11
200,7,5.0,5.003620311237368,0.6655158418495812,2.8865429598065746,0.084956571687381,0.007217619072873105,10
200,7,5.25,5.243743246273741,0.6661995583438403,2.855972311276,0.05351736160605104,0.002864107993272826,18
200,7,5.5,5.469964327892821,0.666283214362957,2.781468022556138,0.04694794263429293,0.00220410931759286,12
200,7,5.75,5.7604216766201235,0.6660351833011118,2.7947207648734493,0.061298036990984406,0.0037574493389480926,7
200,7,6.0,5.972036667313322,0.6656329691681666,2.6917083767128513,0.07578615076601587,0.0057435406479292885,4
200,7,6.25,6.228881484040749,0.6650103765678532,2.698369171671233,0.0961687763800239,0.009248433550431041,8
200,7,6.5,6.489616063109002,0.665413091817403,2.6169745750340034,0.07973950708353265,0.0063583889899247546,4
200,7,7.0,7.03984144422047,0.6661387412365961,2.5488058107752045,0.050525074526871265,0.0025527831559458954,3
200,7,7.25,7.260021648497459,0.6663004125922433,2.562423387510236,0.04239297048031577,0.0017971639461449244,3
200,7,7.75,7.814122195211041,0.6656121118783183,2.526057617727186,0.07063348535213235,0.004989089252989894,3
200,7,8.0,7.99163901141097,0.6657612421860726,2.5097595805769077,0.06558904304974189,0.004301922568180895,6
200,7,8.25,8.220750637272864,0.6655739328756012,2.467831189405479,0.07160529872537383,0.005127318805550022,4
200,7,9.0,8.936782095281698,0.666654653545327,2.4402921338229473,0.007332731928072335,5.3768957528971414e-05,3
