m,condition,seed,h_cont,h_cog,sync
3,FULLOPT_300,1337,3.624676733572659,0.1049037470002547,0.0171893212480525
3,FULLOPT_300,99,3.6146086629960346,0.1318908273875494,-2.4316321879751967e-05
3,FULLOPT_300,314,3.6756143149667704,0.16210744885422182,0.01798452193072783
3,FULLOPT_300,2024,3.639717300940512,0.16399011659542972,0.0019798427253139273
3,FULLOPT_300,888,3.7258258317951625,0.21105048840673582,0.007117815493609226
3,FULLOPT_1000,42,3.6858579790521224,0.1893488012944768,-0.004430501331497191
3,FULLOPT_1000,123,3.7622415807374265,0.2708169108646906,0.020823828752344647
3,FULLOPT_1000,777,3.694538601773875,0.18335829547575944,0.00607962144752498
3,FULLOPT_1000,17,3.6753004336502433,0.199412270784336,0.011681459160975714
3,FULLOPT_1000,256,3.5918097943128284,0.129873413081387,0.027627239789652386
3,FULLOPT_1000,1337,3.5201705067276134,0.08428585512104343,0.015695479819026848
3,FULLOPT_1000,99,3.642990266755808,0.1640335989824839,0.0007332681942595798
3,FULLOPT_1000,314,3.6814021362368923,0.177066315404374,0.016224288756087276
3,FULLOPT_1000,2024,3.6608760141292978,0.16301866633175133,0.007106191176831549
3,FULLOPT_1000,888,3.7124486206147806,0.18716258843651842,0.012045809141539483
5,DETERMINISTIC,42,3.1627924922518598,0.0,-0.006255823827675473
5,DETERMINISTIC,123,3.247145770125801,0.0,-0.0027166247859445594
5,DETERMINISTIC,777,3.2242036794527427,0.0,0.007310485022135255
5,DETERMINISTIC,17,3.1234030003004123,0.0,0.006398185901174415
5,DETERMINISTIC,256,3.147448073727002,0.0,-0.0013937599537382577
5,DETERMINISTIC,1337,3.096030836810262,0.0,-0.0005885471058277521
5,DETERMINISTIC,99,3.114787173922083,0.0,0.0019798620912900074
5,DETERMINISTIC,314,3.2859083224721446,0.0,0.015504457230158508
5,DETERMINISTIC,2024,3.246034645088362,0.0,0.00665274001806482
5,DETERMINISTIC,888,3.196842120051262,0.0,-0.0023441857929516106
5,COUPLING_3,42,3.224348653973201,0.0,-0.0024776530509132834
5,COUPLING_3,123,3.2445361774038575,0.0,0.0024130437633593294
5,COUPLING_3,777,3.2177100153742164,0.0,0.017012920499610975
5,COUPLING_3,17,3.119789657121092,0.0,-0.0012942385357540534
5,COUPLING_3,256,3.1708752210328943,0.0,0.007394615332809712
5,COUPLING_3,1337,3.112807663350541,0.0,-0.0019230016468783965
5,COUPLING_3,99,3.117632151969257,0.0,-0.0035203349300340853
5,COUPLING_3,314,3.2626805901173395,0.0,-0.001133366191699635
5,COUPLING_3,2024,3.2457606645914994,0.0,0.0034984535669946473
5,COUPLING_3,888,3.225968371965806,0.0,-0.003543304129592493
5,COUPLING_10,42,3.218004790879706,0.0,-0.0035162056103254496
5,COUPLING_10,123,3.239810356345674,0.0,0.009086747963974677
5,COUPLING_10,777,3.286806164395251,0.0,0.019863267486718867
5,COUPLING_10,17,3.117529451670853,0.0,-0.004176148801403402
5,COUPLING_10,256,3.179153322820852,0.0,-0.0004461733853418126
5,COUPLING_10,1337,3.075057930795761,0.0,-0.0059196534171278205
5,COUPLING_10,99,3.1321753629524953,0.0,-0.0013387407489088956
5,COUPLING_10,314,3.297002403742917,0.0,-0.00282370055326158
5,COUPLING_10,2024,3.29794269597491,0.0,0.007211169594445506
5,COUPLING_10,888,3.233571581737793,0.0,0.005043619379338385
5,COUPLING_30,42,3.2812678496041894,0.0,0.014023576258397816
5,COUPLING_30,123,3.2239908377640307,0.0,0.0050256955033255975
5,COUPLING_30,777,3.1959594131216567,0.0,0.010039084222106217
5,COUPLING_30,17,3.176725722569147,0.0,0.0030466355241292806
5,COUPLING_30,256,3.16400920431925,0.0,-0.009296215346606495
